group	factor	Archaea metatranscriptome	Bacteria metatranscriptome	Eukaryota metatranscriptome	Human transcriptome	Viruses metatranscriptome
Esophagus_Control	Factor1	4.336963121964743e-6	-2.548913923261509e-4	0.021804924383483915	0.2348093587267397	-5.807377867483865e-6
Esophagus_Control	Factor2	2.7395622159698263e-5	-5.539849752489445e-4	4.9466384945962e-4	0.018468075513977666	-5.065164170758862e-4
Esophagus_Control	Factor3	8.830505348056406e-5	0.0062209534979595915	2.629963912244637	0.6153324496683599	1.0111663012457583e-4
Esophagus_Control	Factor4	6.375893287779988e-5	6.856749046324495e-4	0.07518085853159828	0.13610854867085465	2.08907046328477e-5
Esophagus_Control	Factor5	2.512421748424032e-6	-7.216948172406035e-6	4.5297468964644594e-5	0.012739104607573104	-1.7712891731136438e-5
Esophagus_GERD	Factor1	-43.50235199052437	2.032092816239839e-6	0.16282470209908473	0.2136435240231327	0.003586627307960999
Esophagus_GERD	Factor2	-69.22633006886743	1.3831421985521786e-5	4.486512625079264e-4	0.010886914927121794	1.2016077937518466
Esophagus_GERD	Factor3	-695.8130402168299	6.624782744601987e-6	-0.6297261872192372	0.17835631680880315	0.016799806424305785
Esophagus_GERD	Factor4	-1769.7497042464552	-2.7200161456519822e-6	0.03201804468584424	0.07355396991490792	-0.006854498737052239
Esophagus_GERD	Factor5	-1967.4157842843576	1.7629914084160703e-6	9.754816435725289e-5	0.03556633853275537	0.2656355399294652
