feature	factor	value	view
Acidilobus saccharovorans	Factor1	-3.1282676979773293e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor1	-5.0301756550057635e-8	Archaea metatranscriptome
Methanococcus maripaludis	Factor1	-3.7073868650304555e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	-3.28675408371955e-6	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	-1.2021226477019857e-6	Archaea metatranscriptome
Methanosarcina mazei	Factor1	-2.940984198809038e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor1	-1.8831170030166558e-6	Archaea metatranscriptome
Thermococcus thioreducens	Factor1	-4.06985712863189e-6	Archaea metatranscriptome
Acidilobus saccharovorans	Factor2	-3.5704864197037345e-5	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor2	-6.299650715287222e-6	Archaea metatranscriptome
Methanococcus maripaludis	Factor2	1.3208285191042949e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor2	-6.35219456577825e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor2	3.8443574693365966e-5	Archaea metatranscriptome
Methanosarcina mazei	Factor2	-2.2587944039378438e-5	Archaea metatranscriptome
Thermococcus litoralis	Factor2	-1.2187521681425438e-5	Archaea metatranscriptome
Thermococcus thioreducens	Factor2	-3.618966179859367e-5	Archaea metatranscriptome
Acidilobus saccharovorans	Factor3	-5.004813592393541e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor3	-3.046081045267882e-7	Archaea metatranscriptome
Methanococcus maripaludis	Factor3	-1.8051108446040353e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor3	-2.4777837886984272e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor3	-2.452626351660074e-5	Archaea metatranscriptome
Methanosarcina mazei	Factor3	-2.284860731603658e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor3	-1.234820047768729e-5	Archaea metatranscriptome
Thermococcus thioreducens	Factor3	-1.4902674360626894e-5	Archaea metatranscriptome
Acidilobus saccharovorans	Factor4	-1.511633834605277e-5	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor4	-3.062383690743094e-7	Archaea metatranscriptome
Methanococcus maripaludis	Factor4	-1.3997492731209204e-5	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor4	-4.7384190160674776e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor4	-1.6639219894033217e-5	Archaea metatranscriptome
Methanosarcina mazei	Factor4	-1.0469309986400937e-5	Archaea metatranscriptome
Thermococcus litoralis	Factor4	-2.6674901230517564e-5	Archaea metatranscriptome
Thermococcus thioreducens	Factor4	-3.914614250726519e-5	Archaea metatranscriptome
Acidilobus saccharovorans	Factor5	-6.0477921188874723e-5	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor5	-3.915636077399689e-7	Archaea metatranscriptome
Methanococcus maripaludis	Factor5	4.092614047648515e-4	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor5	8.962485154180066e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor5	4.633261423729277e-5	Archaea metatranscriptome
Methanosarcina mazei	Factor5	-1.1829595178702289e-4	Archaea metatranscriptome
Thermococcus litoralis	Factor5	4.805278149317472e-5	Archaea metatranscriptome
Thermococcus thioreducens	Factor5	-4.909379870861347e-5	Archaea metatranscriptome
[Clostridium] scindens	Factor1	-7.193299642687793e-10	Bacteria metatranscriptome
[Eubacterium] sulci	Factor1	-1.1929548371577412e-8	Bacteria metatranscriptome
[Haemophilus] ducreyi	Factor1	-1.289718739190436e-9	Bacteria metatranscriptome
[Polyangium] brachysporum	Factor1	1.2322189819742153e-8	Bacteria metatranscriptome
Acetobacter persici	Factor1	-7.297669479486378e-10	Bacteria metatranscriptome
Acholeplasma palmae	Factor1	-5.513122258637257e-10	Bacteria metatranscriptome
Achromobacter sp. AONIH1	Factor1	1.4482936643211707e-10	Bacteria metatranscriptome
Achromobacter sp. MFA1 R4	Factor1	1.8544178903073033e-10	Bacteria metatranscriptome
Achromobacter xylosoxidans	Factor1	1.4821312722743625e-9	Bacteria metatranscriptome
Acidovorax avenae	Factor1	1.0554216195565566e-9	Bacteria metatranscriptome
Acidovorax carolinensis	Factor1	2.3494863871708084e-9	Bacteria metatranscriptome
Acidovorax citrulli	Factor1	-3.0374017805421982e-9	Bacteria metatranscriptome
Acidovorax sp. 1608163	Factor1	-1.2338677133488276e-10	Bacteria metatranscriptome
Acidovorax sp. HDW3	Factor1	1.1980106099750306e-9	Bacteria metatranscriptome
Acidovorax sp. KKS102	Factor1	1.382318343479652e-9	Bacteria metatranscriptome
Acidovorax sp. RAC01	Factor1	9.75639015000219e-10	Bacteria metatranscriptome
Acidovorax sp. T1	Factor1	6.057807944503509e-10	Bacteria metatranscriptome
Acinetobacter baumannii	Factor1	-4.9630602287472085e-9	Bacteria metatranscriptome
Acinetobacter calcoaceticus	Factor1	-1.1105835052644539e-9	Bacteria metatranscriptome
Acinetobacter indicus	Factor1	-7.515123028894104e-10	Bacteria metatranscriptome
Acinetobacter johnsonii	Factor1	4.074867497993599e-11	Bacteria metatranscriptome
Acinetobacter lwoffii	Factor1	-6.2339907872867205e-9	Bacteria metatranscriptome
Acinetobacter nosocomialis	Factor1	-1.6104352234855638e-10	Bacteria metatranscriptome
Acinetobacter pittii	Factor1	-8.133760713367234e-11	Bacteria metatranscriptome
Acinetobacter radioresistens	Factor1	-2.8070192199903922e-9	Bacteria metatranscriptome
Acinetobacter sp. 185	Factor1	-5.280385511234358e-10	Bacteria metatranscriptome
Acinetobacter wuhouensis	Factor1	-1.515015242019418e-9	Bacteria metatranscriptome
Actinobacillus delphinicola	Factor1	-4.705595279372065e-10	Bacteria metatranscriptome
Actinobacillus indolicus	Factor1	-1.2915917261053463e-8	Bacteria metatranscriptome
Actinobacillus pleuropneumoniae	Factor1	-1.310939954628811e-9	Bacteria metatranscriptome
Actinobacillus porcitonsillarum	Factor1	-2.3312581734946813e-9	Bacteria metatranscriptome
Actinomyces howellii	Factor1	-1.9972109260379883e-9	Bacteria metatranscriptome
Actinomyces israelii	Factor1	-1.7970920207972637e-9	Bacteria metatranscriptome
Actinomyces oris	Factor1	-7.334634861316228e-10	Bacteria metatranscriptome
Actinomyces pacaensis	Factor1	-2.0580489930860033e-8	Bacteria metatranscriptome
Actinomyces radicidentis	Factor1	-9.177731136787464e-10	Bacteria metatranscriptome
Actinomyces slackii	Factor1	-1.428295397203473e-9	Bacteria metatranscriptome
Actinomyces sp. oral taxon 171	Factor1	-3.9424985826899233e-10	Bacteria metatranscriptome
Actinomyces sp. oral taxon 414	Factor1	-1.2511476686336266e-9	Bacteria metatranscriptome
Actinomyces sp. oral taxon 897	Factor1	-2.2633929271709927e-9	Bacteria metatranscriptome
Aequorivita sp. H23M31	Factor1	-6.947853807203657e-10	Bacteria metatranscriptome
Aerococcus sanguinicola	Factor1	-4.83739407757999e-9	Bacteria metatranscriptome
Aeromonas hydrophila	Factor1	-1.0893342120225578e-10	Bacteria metatranscriptome
Aeromonas media	Factor1	-5.823032312810728e-11	Bacteria metatranscriptome
Aeromonas salmonicida	Factor1	-2.493542923696258e-10	Bacteria metatranscriptome
Aeromonas veronii	Factor1	-3.17041998579305e-8	Bacteria metatranscriptome
Aggregatibacter actinomycetemcomitans	Factor1	-8.968949572446911e-9	Bacteria metatranscriptome
Aggregatibacter aphrophilus	Factor1	-4.004993841655704e-8	Bacteria metatranscriptome
Aggregatibacter segnis	Factor1	-2.4840540642120404e-8	Bacteria metatranscriptome
Agrobacterium vitis	Factor1	-3.6117704821883524e-8	Bacteria metatranscriptome
Alcanivorax sp. N3-2A	Factor1	-1.0495943851320545e-8	Bacteria metatranscriptome
Algibacter alginicilyticus	Factor1	-7.215687436606562e-10	Bacteria metatranscriptome
Alicycliphilus denitrificans	Factor1	9.705882849735839e-9	Bacteria metatranscriptome
