sample	cluster	condition	control
GSM1022690	5	Esophagus_Control_cluster_5	TRUE
GSM1022691	2	Esophagus_Control_cluster_2	TRUE
GSM1022692	1	Esophagus_Control_cluster_1	TRUE
GSM1022693	4	Esophagus_Control_cluster_4	TRUE
GSM1022694	2	Esophagus_Control_cluster_2	TRUE
GSM1022695	1	Esophagus_Control_cluster_1	TRUE
GSM1415906	4	Esophagus_Control_cluster_4	TRUE
GSM1415907	4	Esophagus_Control_cluster_4	TRUE
GSM1415908	1	Esophagus_Control_cluster_1	TRUE
GSM1415909	1	Esophagus_Control_cluster_1	TRUE
GSM1415910	1	Esophagus_Control_cluster_1	TRUE
GSM1415911	4	Esophagus_Control_cluster_4	TRUE
GSM3103956	2	Esophagus_Control_cluster_2	TRUE
GSM3103957	3	Esophagus_Control_cluster_3	TRUE
GSM3103958	3	Esophagus_Control_cluster_3	TRUE
GSM3103959	2	Esophagus_Control_cluster_2	TRUE
GSM3103960	5	Esophagus_Control_cluster_5	TRUE
GSM3103961	5	Esophagus_Control_cluster_5	TRUE
GSM3103962	2	Esophagus_Control_cluster_2	TRUE
GSM3103963	3	Esophagus_Control_cluster_3	TRUE
GSM3103964	2	Esophagus_Control_cluster_2	TRUE
GSM3103965	2	Esophagus_Control_cluster_2	TRUE
GSM4735796	3	Esophagus_Control_cluster_3	TRUE
GSM1022684	5	Esophagus_GERD_cluster_5	FALSE
GSM1022685	1	Esophagus_GERD_cluster_1	FALSE
GSM1022686	1	Esophagus_GERD_cluster_1	FALSE
GSM1022687	2	Esophagus_GERD_cluster_2	FALSE
GSM1022688	5	Esophagus_GERD_cluster_5	FALSE
GSM1022689	1	Esophagus_GERD_cluster_1	FALSE
GSM4735798	5	Esophagus_GERD_cluster_5	TRUE
GSM4735800	5	Esophagus_GERD_cluster_5	TRUE
GSM4735799	2	Esophagus_GERD_cluster_2	TRUE
GSM4735801	5	Esophagus_GERD_cluster_5	TRUE
