sample	cluster	condition	control
GSM5282507	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282509	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282510	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282511	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282512	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282515	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282516	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282519	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282521	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282523	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282524	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282526	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282528	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282529	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282513	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282533	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282534	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282536	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282525	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282530	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282514	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282520	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282535	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282522	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282531	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282508	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282518	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282517	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282527	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282532	3	Blood_CD4_EoE_cluster_3	FALSE
GSM4735787	3	Blood_EoE_cluster_3	FALSE
GSM4735793	4	Blood_EoE_cluster_4	FALSE
GSM4735785	4	Blood_EoE_cluster_4	FALSE
GSM4735792	4	Blood_EoE_cluster_4	FALSE
GSM4735794	3	Blood_EoE_cluster_3	FALSE
