group	factor	Archaea metatranscriptome	Bacteria metatranscriptome	Eukaryota metatranscriptome	Human transcriptome	Viruses metatranscriptome
Blood_GERD	Factor1	-Inf	-0.18158158083310116	0.0034875166242009925	0.19121159750306038	-1710.964670379055
Blood_GERD	Factor2	-Inf	-0.026185305079007293	0.12329166990693308	0.2637830960401044	-139.69234790781897
Blood_GERD	Factor3	-Inf	-2.7903655186456433e-5	-8.55843482971963e-5	7.923451441627094e-5	-0.02910152299731017
Blood_GERD	Factor4	-Inf	-0.1590032756582982	0.12810666678721994	0.03279884864092475	-845.9560440375536
Blood_GERD	Factor5	-Inf	0.0010959396386400755	0.040942795484477656	0.7894823166624376	-36.21283354012552
Esophagus_Control	Factor1	0.016308169385159665	4.569811373755783e-5	0.0036353668992905597	0.0333863392695255	0.0029713624182470255
Esophagus_Control	Factor2	2.4251618313542167e-5	2.970955237380224e-6	0.006734836357891183	0.022003721175589686	0.0016180727066994471
Esophagus_Control	Factor3	1.9589810787506212	9.440555772677328e-5	1.4401871556900203	0.028034185421876856	0.7968209105511326
Esophagus_Control	Factor4	0.7182624057361586	0.0014981828947990827	0.6367748507494886	0.6868465866906481	1.8710504765800828
Esophagus_Control	Factor5	0.0048268537945039824	1.8797049716745562e-5	0.015390838163553688	0.28736983730469623	0.003673836733475433
