sample	cluster	condition	control
GSM4735788	4	Blood_GERD_cluster_4	TRUE
GSM4735790	4	Blood_GERD_cluster_4	TRUE
GSM4735789	4	Blood_GERD_cluster_4	TRUE
GSM4735791	4	Blood_GERD_cluster_4	TRUE
GSM1022690	2	Esophagus_Control_cluster_2	TRUE
GSM1022691	2	Esophagus_Control_cluster_2	TRUE
GSM1022692	4	Esophagus_Control_cluster_4	TRUE
GSM1022693	3	Esophagus_Control_cluster_3	TRUE
GSM1022694	2	Esophagus_Control_cluster_2	TRUE
GSM1022695	4	Esophagus_Control_cluster_4	TRUE
GSM1415906	3	Esophagus_Control_cluster_3	TRUE
GSM1415907	3	Esophagus_Control_cluster_3	TRUE
GSM1415908	3	Esophagus_Control_cluster_3	TRUE
GSM1415909	3	Esophagus_Control_cluster_3	TRUE
GSM1415910	3	Esophagus_Control_cluster_3	TRUE
GSM1415911	3	Esophagus_Control_cluster_3	TRUE
GSM3103956	2	Esophagus_Control_cluster_2	TRUE
GSM3103957	1	Esophagus_Control_cluster_1	TRUE
GSM3103958	1	Esophagus_Control_cluster_1	TRUE
GSM3103959	2	Esophagus_Control_cluster_2	TRUE
GSM3103960	4	Esophagus_Control_cluster_4	TRUE
GSM3103961	4	Esophagus_Control_cluster_4	TRUE
GSM3103962	2	Esophagus_Control_cluster_2	TRUE
GSM3103963	1	Esophagus_Control_cluster_1	TRUE
GSM3103964	1	Esophagus_Control_cluster_1	TRUE
GSM3103965	4	Esophagus_Control_cluster_4	TRUE
GSM4735796	5	Esophagus_Control_cluster_5	TRUE
