feature	factor	value	view
Acidianus sulfidivorans	Factor1	-0.06346971547110652	Archaea metatranscriptome
Acidilobus saccharovorans	Factor1	-0.051533324812110225	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor1	-0.0015305158422354846	Archaea metatranscriptome
Metallosphaera hakonensis	Factor1	-0.041343502991089735	Archaea metatranscriptome
Methanococcus maripaludis	Factor1	-0.03907585145698277	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor1	-0.054537671495670195	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	-0.0649022853512025	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	-0.044583619503018125	Archaea metatranscriptome
Methanosarcina lacustris	Factor1	-0.026436559487209976	Archaea metatranscriptome
Methanosarcina mazei	Factor1	-0.04185502989540386	Archaea metatranscriptome
Thermococcus litoralis	Factor1	-0.04814582674280795	Archaea metatranscriptome
Thermococcus thioreducens	Factor1	-0.06095405650264929	Archaea metatranscriptome
Acidianus sulfidivorans	Factor2	-9.626890306069178e-4	Archaea metatranscriptome
Acidilobus saccharovorans	Factor2	-3.142838867944641e-4	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor2	-1.7423363968936657e-5	Archaea metatranscriptome
Metallosphaera hakonensis	Factor2	-8.40484221139934e-5	Archaea metatranscriptome
Methanococcus maripaludis	Factor2	0.0017643265758053527	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor2	4.6095655189284685e-4	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor2	-3.7957947552826336e-4	Archaea metatranscriptome
Methanosarcina barkeri	Factor2	2.0005098469870044e-4	Archaea metatranscriptome
Methanosarcina lacustris	Factor2	-6.517672778470701e-4	Archaea metatranscriptome
Methanosarcina mazei	Factor2	-4.278288229983383e-4	Archaea metatranscriptome
Thermococcus litoralis	Factor2	3.87841135324977e-4	Archaea metatranscriptome
Thermococcus thioreducens	Factor2	-2.7466707597220984e-4	Archaea metatranscriptome
Acidianus sulfidivorans	Factor3	7.429077258937464e-6	Archaea metatranscriptome
Acidilobus saccharovorans	Factor3	7.432346038258997e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor3	0.35384729102545814	Archaea metatranscriptome
Metallosphaera hakonensis	Factor3	2.1855291959379905e-6	Archaea metatranscriptome
Methanococcus maripaludis	Factor3	1.975322414824257e-6	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor3	3.1896528457622776e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor3	2.0274284866151243e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor3	1.500861712982412e-4	Archaea metatranscriptome
Methanosarcina lacustris	Factor3	1.1986642160253295e-6	Archaea metatranscriptome
Methanosarcina mazei	Factor3	2.4099704366738966e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor3	6.502237488874406e-6	Archaea metatranscriptome
Thermococcus thioreducens	Factor3	7.230684543038727e-6	Archaea metatranscriptome
Acidianus sulfidivorans	Factor4	-1.3251743133962008e-5	Archaea metatranscriptome
Acidilobus saccharovorans	Factor4	-1.1116236523251952e-5	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor4	-0.03544983683362415	Archaea metatranscriptome
Metallosphaera hakonensis	Factor4	-4.2961006615737604e-7	Archaea metatranscriptome
Methanococcus maripaludis	Factor4	-1.0608737685895112e-6	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor4	-1.9299287463719167e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor4	-3.478020076046313e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor4	-0.0010137301079033636	Archaea metatranscriptome
Methanosarcina lacustris	Factor4	-1.972866602258325e-7	Archaea metatranscriptome
Methanosarcina mazei	Factor4	-2.808839805325349e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor4	-1.715364820114869e-5	Archaea metatranscriptome
Thermococcus thioreducens	Factor4	-1.636868437147733e-5	Archaea metatranscriptome
Acidianus sulfidivorans	Factor5	-7.23797276796783e-7	Archaea metatranscriptome
Acidilobus saccharovorans	Factor5	-6.590729846233326e-7	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor5	-6.83979775938569e-5	Archaea metatranscriptome
Metallosphaera hakonensis	Factor5	-4.4878670369592254e-8	Archaea metatranscriptome
Methanococcus maripaludis	Factor5	-8.946866747018955e-8	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor5	-9.025363105113087e-8	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor5	-2.168701464904753e-6	Archaea metatranscriptome
Methanosarcina barkeri	Factor5	-6.303942042070361e-5	Archaea metatranscriptome
Methanosarcina lacustris	Factor5	-1.5337710523856918e-8	Archaea metatranscriptome
Methanosarcina mazei	Factor5	-1.4808790936087085e-7	Archaea metatranscriptome
Thermococcus litoralis	Factor5	-1.2580404453806572e-6	Archaea metatranscriptome
Thermococcus thioreducens	Factor5	-8.262997473310347e-7	Archaea metatranscriptome
[Clostridium] hiranonis	Factor1	-6.506749992042738e-7	Bacteria metatranscriptome
[Clostridium] scindens	Factor1	-6.312251130610412e-7	Bacteria metatranscriptome
[Eubacterium] cellulosolvens	Factor1	-6.960421189380878e-7	Bacteria metatranscriptome
[Eubacterium] sulci	Factor1	-4.340678312844901e-5	Bacteria metatranscriptome
[Haemophilus] ducreyi	Factor1	-1.6077431635599644e-6	Bacteria metatranscriptome
[Polyangium] brachysporum	Factor1	3.390055676654233e-5	Bacteria metatranscriptome
Acetobacter ghanensis	Factor1	-2.2951363696976834e-7	Bacteria metatranscriptome
Acetobacter persici	Factor1	-8.121165238258266e-7	Bacteria metatranscriptome
Acetobacteraceae bacterium	Factor1	-6.812840218134591e-7	Bacteria metatranscriptome
Acholeplasma palmae	Factor1	-5.489320663862551e-7	Bacteria metatranscriptome
Achromobacter insolitus	Factor1	1.1637199554972336e-7	Bacteria metatranscriptome
Achromobacter sp. AONIH1	Factor1	1.370631753392981e-7	Bacteria metatranscriptome
Achromobacter xylosoxidans	Factor1	1.3664152353171027e-6	Bacteria metatranscriptome
Acidovorax avenae	Factor1	9.181945180759634e-7	Bacteria metatranscriptome
Acidovorax carolinensis	Factor1	2.5244290036819405e-6	Bacteria metatranscriptome
Acidovorax citrulli	Factor1	-7.919877485851445e-6	Bacteria metatranscriptome
Acidovorax sp. 1608163	Factor1	-1.864954637123197e-7	Bacteria metatranscriptome
Acidovorax sp. HDW3	Factor1	1.0550459597620288e-6	Bacteria metatranscriptome
Acidovorax sp. JS42	Factor1	9.70567616750596e-8	Bacteria metatranscriptome
Acidovorax sp. KKS102	Factor1	1.2236694821747883e-6	Bacteria metatranscriptome
Acidovorax sp. RAC01	Factor1	8.147974272593777e-7	Bacteria metatranscriptome
Acidovorax sp. T1	Factor1	4.7436197222855466e-7	Bacteria metatranscriptome
Acinetobacter baumannii	Factor1	-9.667616017879419e-5	Bacteria metatranscriptome
Acinetobacter calcoaceticus	Factor1	-1.0367833484422636e-6	Bacteria metatranscriptome
Acinetobacter indicus	Factor1	-1.96263345567946e-6	Bacteria metatranscriptome
Acinetobacter johnsonii	Factor1	1.763590300614572e-8	Bacteria metatranscriptome
Acinetobacter junii	Factor1	6.202195722790369e-8	Bacteria metatranscriptome
Acinetobacter lwoffii	Factor1	-1.3009409994577116e-5	Bacteria metatranscriptome
Acinetobacter nosocomialis	Factor1	-1.8067129209447662e-7	Bacteria metatranscriptome
Acinetobacter radioresistens	Factor1	-7.593461628843064e-6	Bacteria metatranscriptome
Acinetobacter schindleri	Factor1	-6.012947044363122e-6	Bacteria metatranscriptome
Acinetobacter sp. 185	Factor1	-5.934863271893624e-7	Bacteria metatranscriptome
Acinetobacter wuhouensis	Factor1	-3.726736336431854e-6	Bacteria metatranscriptome
Actinobacillus delphinicola	Factor1	-5.394167064965696e-7	Bacteria metatranscriptome
Actinobacillus indolicus	Factor1	-3.888081712431188e-5	Bacteria metatranscriptome
Actinobacillus pleuropneumoniae	Factor1	-1.6061534408092123e-6	Bacteria metatranscriptome
Actinobacillus porcitonsillarum	Factor1	-4.931455198790857e-6	Bacteria metatranscriptome
Actinobacillus suis	Factor1	-1.320041146945636e-6	Bacteria metatranscriptome
Actinomyces howellii	Factor1	-2.580503590769479e-6	Bacteria metatranscriptome
Actinomyces israelii	Factor1	-2.367188483523271e-6	Bacteria metatranscriptome
