feature	factor	value	view
Acidianus sulfidivorans	Factor1	-0.007107956595107186	Archaea metatranscriptome
Acidilobus saccharovorans	Factor1	-0.18421331163541213	Archaea metatranscriptome
Candidatus Methanomassiliicoccus intestinalis	Factor1	-0.001541016536324425	Archaea metatranscriptome
Candidatus Nitrosocosmicus exaquare	Factor1	-0.01366143547220625	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor1	-0.0022788805001903566	Archaea metatranscriptome
Candidatus Nitrosotalea devanaterra	Factor1	-5.234255371500251e-4	Archaea metatranscriptome
Candidatus Prometheoarchaeum syntrophicum	Factor1	-0.014091456446891205	Archaea metatranscriptome
Halobiforma lacisalsi	Factor1	-0.0013755097497589715	Archaea metatranscriptome
Metallosphaera hakonensis	Factor1	-0.06343945192885789	Archaea metatranscriptome
Methanobrevibacter ruminantium	Factor1	-0.002368981323931431	Archaea metatranscriptome
Methanocaldococcus sp. FS406-22	Factor1	-8.005259979853938e-4	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	0.0070874412964037365	Archaea metatranscriptome
Methanosalsum zhilinae	Factor1	-0.0026995438885080553	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	-0.006392236314447662	Archaea metatranscriptome
Methanosarcina lacustris	Factor1	-0.003244248512189331	Archaea metatranscriptome
Methanosarcina mazei	Factor1	-1.529093157177374e-4	Archaea metatranscriptome
Natrialba magadii	Factor1	6.564913730836072e-4	Archaea metatranscriptome
Nitrososphaera viennensis	Factor1	-0.0011903619299400393	Archaea metatranscriptome
Pyrolobus fumarii	Factor1	-0.11479918204944836	Archaea metatranscriptome
Salinigranum rubrum	Factor1	-0.001764899947283157	Archaea metatranscriptome
Sulfodiicoccus acidiphilus	Factor1	-0.0017540576316530533	Archaea metatranscriptome
Sulfolobus acidocaldarius	Factor1	-0.47793849225503887	Archaea metatranscriptome
Sulfolobus sp. S-194	Factor1	-0.0016767674702610664	Archaea metatranscriptome
Thermococcus barophilus	Factor1	-9.275285285750471e-4	Archaea metatranscriptome
Thermococcus litoralis	Factor1	-9.029264031965095e-4	Archaea metatranscriptome
Thermofilum uzonense	Factor1	-0.025190666541957764	Archaea metatranscriptome
