sample	cluster	condition	control
GSM5282507	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282509	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282510	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282511	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282512	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282515	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282516	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282519	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282521	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282523	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282524	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282526	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282528	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282529	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282513	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282533	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282534	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282536	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282525	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282530	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282514	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282520	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282535	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282522	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282531	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282508	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282518	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282517	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282527	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282532	2	Blood_CD4_EoE_cluster_2	FALSE
GSM4735788	1	Blood_GERD_cluster_1	TRUE
GSM4735790	1	Blood_GERD_cluster_1	TRUE
GSM4735789	1	Blood_GERD_cluster_1	TRUE
GSM4735791	1	Blood_GERD_cluster_1	TRUE
