group	factor	Archaea metatranscriptome	Bacteria metatranscriptome	Eukaryota metatranscriptome	Human transcriptome	Viruses metatranscriptome
Blood_CD4_EoE	Factor1	0.004429071785561067	6.111572137257326e-7	0.00168103410057574	0.004267033862381808	1.3048114033686886e-6
Blood_CD4_EoE	Factor2	-9.186771721791942e-4	1.0279220202802364e-4	0.007730488092971832	0.02173345441122132	0.0032984132473545813
Blood_CD4_EoE	Factor3	-0.0049701124948065	0.10625364136245263	-0.015478958410453103	0.01809126751489698	-0.008066184610644456
Blood_CD4_EoE	Factor4	84.95301458174669	6.659399806822752	1.68019635421639	0.08174601073848153	0.05528746367078341
Blood_CD4_EoE	Factor5	0.032452769097812695	0.0024234289108693297	0.0016344683858804387	0.032558913018221336	45.45217567192268
Blood_GERD	Factor1	-Inf	-0.006807340813197449	0.005224266336101291	0.12725591567401828	-200.74237957588613
Blood_GERD	Factor2	-Inf	-1063.306261780148	0.17943702830611752	0.6043067508639366	-1616.2116036631699
Blood_GERD	Factor3	-Inf	-875697.1860119733	-0.11405995201489993	0.6920820524023874	-65369827.17857501
Blood_GERD	Factor4	-Inf	-72484102.32251605	-14.169967017965979	1.7362529529697635	-170918643.1006328
Blood_GERD	Factor5	-Inf	0.30547090161953117	0.012309695313739155	0.5601942009484495	-166988863037.70572
