feature	factor	value	view
A2M	Factor1	4.118596336184719e-6	Human transcriptome
A2ML1	Factor1	-1.4740714462902834e-5	Human transcriptome
A4GALT	Factor1	4.697042603985144e-5	Human transcriptome
AAAS	Factor1	8.168810896050576e-4	Human transcriptome
AACS	Factor1	0.001912476171413478	Human transcriptome
AADAT	Factor1	6.055210573486753e-5	Human transcriptome
AAED1	Factor1	3.138174045036172e-5	Human transcriptome
AAGAB	Factor1	-5.70515655485135e-6	Human transcriptome
AAK1	Factor1	0.25904856032097906	Human transcriptome
AAMP	Factor1	0.15213464193672607	Human transcriptome
AAR2	Factor1	6.925722912247426e-4	Human transcriptome
AARS	Factor1	0.19056039633226315	Human transcriptome
AARS2	Factor1	7.677132021607252e-5	Human transcriptome
AASDH	Factor1	9.790703678992867e-5	Human transcriptome
AASDHPPT	Factor1	1.9590341504335324e-4	Human transcriptome
AASS	Factor1	3.3476831426887044e-5	Human transcriptome
AATBC	Factor1	4.6378423726284367e-4	Human transcriptome
AATF	Factor1	-2.2258427773332367e-5	Human transcriptome
AATK	Factor1	-3.861208398773008e-5	Human transcriptome
ABAT	Factor1	-2.9125918998696684e-5	Human transcriptome
ABCA1	Factor1	-0.002501919831521478	Human transcriptome
ABCA12	Factor1	-6.037863639979878e-6	Human transcriptome
ABCA13	Factor1	1.1807486735822635e-4	Human transcriptome
ABCA2	Factor1	9.317630848755388e-5	Human transcriptome
ABCA5	Factor1	0.12703714918130984	Human transcriptome
ABCA7	Factor1	4.083653462809728e-5	Human transcriptome
ABCB1	Factor1	-1.9667453711069305e-8	Human transcriptome
ABCB10	Factor1	8.693364961885401e-4	Human transcriptome
ABCB7	Factor1	4.653152375933356e-5	Human transcriptome
ABCB8	Factor1	-1.8749539463858028e-5	Human transcriptome
ABCB9	Factor1	1.3619801114600846e-4	Human transcriptome
ABCC1	Factor1	0.011769164028703382	Human transcriptome
ABCC10	Factor1	1.1095246610513373e-4	Human transcriptome
ABCC3	Factor1	3.5509973217490356e-5	Human transcriptome
ABCC4	Factor1	1.7359249505363865e-4	Human transcriptome
ABCC5	Factor1	0.2725312712687911	Human transcriptome
ABCD1	Factor1	1.6484313009308067e-4	Human transcriptome
ABCD2	Factor1	-3.4660823799533524e-6	Human transcriptome
ABCD3	Factor1	0.23667510666066727	Human transcriptome
ABCD4	Factor1	2.532455155573956e-4	Human transcriptome
ABCE1	Factor1	0.17435597949989448	Human transcriptome
ABCF1	Factor1	5.159243779799471e-4	Human transcriptome
ABCF2	Factor1	4.920080937959508e-5	Human transcriptome
ABCF3	Factor1	1.9447517017391733e-4	Human transcriptome
ABCG1	Factor1	-1.213376822319471e-4	Human transcriptome
ABHD10	Factor1	0.0020017509998837475	Human transcriptome
ABHD11	Factor1	-4.640582218200979e-4	Human transcriptome
ABHD12	Factor1	0.1312329044032104	Human transcriptome
ABHD13	Factor1	8.58989793773405e-5	Human transcriptome
ABHD14B	Factor1	1.1625038102764263e-4	Human transcriptome
ABHD15	Factor1	1.6960498120591896e-4	Human transcriptome
ABHD17A	Factor1	6.250618975537546e-5	Human transcriptome
ABHD17B	Factor1	1.8616940090333212e-4	Human transcriptome
ABHD17C	Factor1	9.010870329821929e-4	Human transcriptome
ABHD18	Factor1	7.1417881072967e-4	Human transcriptome
ABHD2	Factor1	4.40216612457775e-4	Human transcriptome
ABHD3	Factor1	1.920422902975722e-4	Human transcriptome
ABHD4	Factor1	-8.611599167796471e-6	Human transcriptome
ABHD5	Factor1	4.654393065778739e-4	Human transcriptome
ABHD6	Factor1	5.813083767276852e-5	Human transcriptome
ABHD8	Factor1	3.690717231525226e-5	Human transcriptome
ABI1	Factor1	0.368498236909764	Human transcriptome
ABI2	Factor1	1.7001649756609674e-4	Human transcriptome
ABI3	Factor1	-1.411391086682345e-5	Human transcriptome
ABL1	Factor1	0.1615730800454199	Human transcriptome
ABL2	Factor1	0.09494411703098926	Human transcriptome
ABLIM1	Factor1	0.43399639760140984	Human transcriptome
ABLIM3	Factor1	-2.864911421603952e-4	Human transcriptome
ABO	Factor1	-8.349728816852749e-6	Human transcriptome
ABR	Factor1	1.2239817716401394e-4	Human transcriptome
ABRACL	Factor1	2.770589436720985e-5	Human transcriptome
ABT1	Factor1	0.007218347534785278	Human transcriptome
ABTB1	Factor1	1.6677697044193904e-4	Human transcriptome
ABTB2	Factor1	3.6582719393128574e-4	Human transcriptome
AC000123.2	Factor1	8.480501008891712e-6	Human transcriptome
AC005083.1	Factor1	-6.264273577337232e-6	Human transcriptome
AC005154.6	Factor1	7.171324175178732e-4	Human transcriptome
AC006129.2	Factor1	3.667131974000397e-5	Human transcriptome
AC006262.5	Factor1	9.134887455713861e-7	Human transcriptome
AC006369.2	Factor1	7.377709522055989e-6	Human transcriptome
AC006978.6	Factor1	0.0015248810996268294	Human transcriptome
AC007879.7	Factor1	1.030548107092965e-4	Human transcriptome
AC007969.5	Factor1	3.499954247552152e-4	Human transcriptome
AC009948.5	Factor1	1.4165517441315742e-4	Human transcriptome
AC009950.2	Factor1	1.2902685594675094e-4	Human transcriptome
AC013461.1	Factor1	0.00500312890128798	Human transcriptome
AC024560.3	Factor1	6.971378066765532e-4	Human transcriptome
AC074289.1	Factor1	5.360688516210471e-5	Human transcriptome
AC092881.1	Factor1	1.8942907456770893e-4	Human transcriptome
AC093323.3	Factor1	5.625196368920708e-4	Human transcriptome
AC093495.4	Factor1	6.361436316374407e-4	Human transcriptome
AC093818.1	Factor1	8.040689109327852e-4	Human transcriptome
AC093838.4	Factor1	8.016046238922633e-5	Human transcriptome
AC108142.1	Factor1	1.3389340305871954e-5	Human transcriptome
AC116366.6	Factor1	1.687655513546504e-4	Human transcriptome
AC137932.5	Factor1	1.321472828281369e-4	Human transcriptome
ACAA1	Factor1	2.0772891123976432e-4	Human transcriptome
ACAA2	Factor1	1.0607477271699747e-4	Human transcriptome
ACACA	Factor1	0.0013067781018187518	Human transcriptome
ACACB	Factor1	1.576454744662056e-5	Human transcriptome
ACAD10	Factor1	3.088246909995749e-5	Human transcriptome
ACAD8	Factor1	1.7477180766212847e-4	Human transcriptome
ACAD9	Factor1	0.004586855343955324	Human transcriptome
ACADM	Factor1	2.8523359924949803e-4	Human transcriptome
ACADS	Factor1	-9.655099757212238e-5	Human transcriptome
ACADSB	Factor1	9.81894744194556e-5	Human transcriptome
ACADVL	Factor1	0.7900255845311109	Human transcriptome
ACAP1	Factor1	6.623371602964251e-5	Human transcriptome
ACAP2	Factor1	0.21119076643245535	Human transcriptome
ACAP3	Factor1	0.002285547035852637	Human transcriptome
ACAT1	Factor1	3.224140583909766e-5	Human transcriptome
ACAT2	Factor1	-1.596645540611769e-4	Human transcriptome
ACBD3	Factor1	1.5477833081700874e-4	Human transcriptome
ACBD5	Factor1	5.7810878184590535e-5	Human transcriptome
ACBD6	Factor1	6.99729464109051e-4	Human transcriptome
ACCS	Factor1	0.0026314091866135535	Human transcriptome
ACD	Factor1	2.712862677016056e-4	Human transcriptome
ACIN1	Factor1	-3.6762695476670463e-4	Human transcriptome
ACKR3	Factor1	0.004990855323871988	Human transcriptome
ACLY	Factor1	0.008762867181899923	Human transcriptome
ACO1	Factor1	7.732582908843081e-5	Human transcriptome
ACO2	Factor1	0.007563839633022295	Human transcriptome
ACOT11	Factor1	-4.811396404315153e-5	Human transcriptome
ACOT13	Factor1	2.9817231835276e-4	Human transcriptome
ACOT2	Factor1	2.2255933009316054e-4	Human transcriptome
ACOT7	Factor1	7.790389092125974e-5	Human transcriptome
ACOT8	Factor1	8.511028408586272e-5	Human transcriptome
ACOT9	Factor1	0.0027007574249894675	Human transcriptome
ACOX1	Factor1	1.0460272991574887e-5	Human transcriptome
ACOX3	Factor1	7.666943925162739e-5	Human transcriptome
ACP1	Factor1	0.18775419761610534	Human transcriptome
ACP2	Factor1	1.0034554223953115e-4	Human transcriptome
ACP5	Factor1	6.175920454229868e-4	Human transcriptome
ACP6	Factor1	7.132561096417792e-5	Human transcriptome
ACPP	Factor1	-1.1834387940979935e-4	Human transcriptome
ACRBP	Factor1	5.184530401514322e-5	Human transcriptome
ACSF2	Factor1	0.0013603966751072655	Human transcriptome
ACSF3	Factor1	1.393156623716429e-4	Human transcriptome
ACSL1	Factor1	3.662689213180093e-5	Human transcriptome
ACSL3	Factor1	0.011708382391891654	Human transcriptome
ACSL4	Factor1	2.926657281706277e-4	Human transcriptome
ACSL5	Factor1	2.1181019580422454e-5	Human transcriptome
ACSS1	Factor1	2.670160198134918e-4	Human transcriptome
ACSS2	Factor1	-2.548957088640665e-4	Human transcriptome
ACTA2	Factor1	6.5858725180019985e-6	Human transcriptome
ACTB	Factor1	-0.0021414418660359626	Human transcriptome
ACTG1	Factor1	-0.0018933224300754475	Human transcriptome
ACTG2	Factor1	-1.1654438823970116e-4	Human transcriptome
ACTL6A	Factor1	0.11444729172877596	Human transcriptome
ACTN1	Factor1	1.383938545303487e-4	Human transcriptome
ACTN4	Factor1	0.03205645051002664	Human transcriptome
ACTR10	Factor1	-1.437233068037068e-5	Human transcriptome
ACTR1A	Factor1	5.596318435546826e-5	Human transcriptome
ACTR1B	Factor1	0.14453855218329517	Human transcriptome
ACTR2	Factor1	-0.009221081223803171	Human transcriptome
ACTR3	Factor1	-0.2561961379719431	Human transcriptome
ACTR6	Factor1	0.0014537369981360599	Human transcriptome
ACTR8	Factor1	0.0012199211516754438	Human transcriptome
ACVR1	Factor1	0.0013711332660522155	Human transcriptome
ACVR1B	Factor1	2.7103746009546435e-4	Human transcriptome
ACVR2A	Factor1	0.0018605240837447844	Human transcriptome
ACVR2B	Factor1	0.0023857160829266607	Human transcriptome
ACYP1	Factor1	4.778336827427374e-4	Human transcriptome
ACYP2	Factor1	4.978756857451257e-4	Human transcriptome
ADAL	Factor1	5.293954596918304e-4	Human transcriptome
ADAM10	Factor1	0.19286905300208793	Human transcriptome
ADAM12	Factor1	1.5375023521276883e-4	Human transcriptome
ADAM15	Factor1	0.003266701278881317	Human transcriptome
ADAM17	Factor1	0.009679062784574343	Human transcriptome
ADAM19	Factor1	4.23678486699928e-4	Human transcriptome
ADAM22	Factor1	2.0000985480753613e-5	Human transcriptome
ADAM23	Factor1	4.316738496277966e-4	Human transcriptome
ADAM28	Factor1	2.051210948765051e-4	Human transcriptome
ADAM8	Factor1	-2.2915284466320252e-4	Human transcriptome
ADAM9	Factor1	-0.002200040216592603	Human transcriptome
ADAMTS1	Factor1	1.0461573939390156e-5	Human transcriptome
ADAMTS14	Factor1	1.6166387298886854e-5	Human transcriptome
ADAMTS15	Factor1	-1.6673142071493334e-5	Human transcriptome
ADAMTS6	Factor1	3.560302783129653e-5	Human transcriptome
ADAMTS7	Factor1	6.371660663514251e-5	Human transcriptome
ADAMTSL1	Factor1	-2.744370003024441e-5	Human transcriptome
ADAMTSL4	Factor1	2.4368858956736627e-4	Human transcriptome
ADAMTSL5	Factor1	1.3895591231517767e-5	Human transcriptome
ADAP1	Factor1	7.287000936719167e-5	Human transcriptome
ADAP2	Factor1	-1.536881181947186e-5	Human transcriptome
ADAR	Factor1	0.8642728061160906	Human transcriptome
ADARB1	Factor1	3.9390687072884554e-4	Human transcriptome
ADAT1	Factor1	4.659374506569696e-5	Human transcriptome
ADAT2	Factor1	2.7637256324981866e-5	Human transcriptome
ADCK2	Factor1	2.2474502336404596e-4	Human transcriptome
ADCK5	Factor1	4.485400929202141e-5	Human transcriptome
ADCY10P1	Factor1	3.852528528380827e-5	Human transcriptome
ADCY3	Factor1	0.002268507764429142	Human transcriptome
ADCY6	Factor1	2.72766880254107e-5	Human transcriptome
ADCY7	Factor1	0.003997055521195287	Human transcriptome
ADCY9	Factor1	5.378544898955007e-4	Human transcriptome
ADD1	Factor1	0.28869883304981003	Human transcriptome
ADD2	Factor1	1.3892400065445312e-5	Human transcriptome
ADD3	Factor1	0.26768353829702535	Human transcriptome
ADGRA3	Factor1	0.0031145769464177783	Human transcriptome
ADGRB2	Factor1	3.8402097492676254e-5	Human transcriptome
ADGRD1	Factor1	1.851926727209803e-5	Human transcriptome
ADGRE1	Factor1	-4.252392207165814e-5	Human transcriptome
ADGRE2	Factor1	6.632145721623883e-6	Human transcriptome
ADGRE3	Factor1	1.75289804162357e-5	Human transcriptome
ADGRE4P	Factor1	-2.6789409202753353e-6	Human transcriptome
ADGRE5	Factor1	1.3918903510194228e-4	Human transcriptome
ADGRF1	Factor1	-1.0733036666150551e-5	Human transcriptome
ADGRF2	Factor1	-1.3669878129530838e-6	Human transcriptome
ADGRF4	Factor1	-5.8271257907284496e-5	Human transcriptome
ADGRG1	Factor1	0.18265352998758358	Human transcriptome
ADGRG3	Factor1	1.0959898449799909e-5	Human transcriptome
ADGRG5	Factor1	4.6896506146744335e-5	Human transcriptome
ADGRG6	Factor1	-0.0025331202675070805	Human transcriptome
ADGRL1	Factor1	1.2177981300084896e-4	Human transcriptome
ADH5	Factor1	0.25624252818051485	Human transcriptome
ADH7	Factor1	-4.848355751993176e-5	Human transcriptome
ADI1	Factor1	2.2647487984940134e-4	Human transcriptome
ADIPOR1	Factor1	0.0011187672604934006	Human transcriptome
ADIPOR2	Factor1	0.20148875194331267	Human transcriptome
ADK	Factor1	0.00021952496161471998	Human transcriptome
ADM	Factor1	0.2564055734983455	Human transcriptome
ADNP	Factor1	0.37808476335838287	Human transcriptome
ADNP2	Factor1	0.0024658907484248556	Human transcriptome
ADO	Factor1	8.948168212115591e-4	Human transcriptome
ADORA2B	Factor1	3.913650055517057e-4	Human transcriptome
ADPGK	Factor1	0.1475383365102558	Human transcriptome
ADPRHL2	Factor1	-1.2457502935885872e-4	Human transcriptome
ADPRM	Factor1	4.133890981480105e-4	Human transcriptome
ADRB2	Factor1	2.822576686679769e-4	Human transcriptome
ADRM1	Factor1	4.3450825277548644e-5	Human transcriptome
ADSL	Factor1	6.576616900661328e-4	Human transcriptome
ADSS	Factor1	1.987329481799976e-4	Human transcriptome
AEBP1	Factor1	-2.5279421525431137e-5	Human transcriptome
AEBP2	Factor1	1.513028715884496e-4	Human transcriptome
AEN	Factor1	0.0028703737631946705	Human transcriptome
AES	Factor1	0.23797496522644726	Human transcriptome
AFAP1	Factor1	1.1135152173677725e-4	Human transcriptome
AFAP1L2	Factor1	3.2020630736791147e-4	Human transcriptome
AFDN	Factor1	-5.366435163742857e-4	Human transcriptome
AFF1	Factor1	0.33326741488133343	Human transcriptome
AFF3	Factor1	-2.9194099792774445e-5	Human transcriptome
AFF4	Factor1	0.2544857417410015	Human transcriptome
AFG3L1P	Factor1	0.0036428067700579906	Human transcriptome
AFG3L2	Factor1	5.5122323272598305e-5	Human transcriptome
AFMID	Factor1	2.483419012335039e-5	Human transcriptome
AFTPH	Factor1	0.17222113773704434	Human transcriptome
AGA	Factor1	5.437800525519932e-4	Human transcriptome
AGAP1	Factor1	9.68322965616199e-5	Human transcriptome
AGAP2	Factor1	1.513555727731738e-5	Human transcriptome
AGAP3	Factor1	0.0013900949524254871	Human transcriptome
AGBL5	Factor1	1.593436555115732e-4	Human transcriptome
AGFG1	Factor1	0.34784390556363176	Human transcriptome
AGFG2	Factor1	4.543039555255058e-5	Human transcriptome
AGGF1	Factor1	2.9014617750207965e-5	Human transcriptome
AGK	Factor1	1.2873881776629802e-4	Human transcriptome
AGL	Factor1	2.0174668611944228e-4	Human transcriptome
AGO1	Factor1	6.674016181212159e-5	Human transcriptome
AGO2	Factor1	0.4196333440983612	Human transcriptome
AGO3	Factor1	0.18992337437827136	Human transcriptome
AGO4	Factor1	-4.682141238926239e-6	Human transcriptome
AGPAT1	Factor1	3.764910318980935e-5	Human transcriptome
AGPAT2	Factor1	7.618119239694619e-4	Human transcriptome
AGPAT3	Factor1	8.929867874712961e-4	Human transcriptome
AGPAT4	Factor1	0.0012213890552937783	Human transcriptome
AGPAT5	Factor1	0.0017559107143715871	Human transcriptome
AGPS	Factor1	9.475380669808249e-4	Human transcriptome
AGR2	Factor1	-1.0041186814289467e-5	Human transcriptome
AGRN	Factor1	-0.0010516686679847677	Human transcriptome
AGTPBP1	Factor1	6.624174818963469e-4	Human transcriptome
AGTRAP	Factor1	1.6753698007809803e-4	Human transcriptome
AHCTF1	Factor1	0.25403712410608387	Human transcriptome
AHCY	Factor1	6.224476631719074e-4	Human transcriptome
AHCYL1	Factor1	7.664756704329457e-7	Human transcriptome
AHCYL2	Factor1	0.0013674031780845748	Human transcriptome
AHDC1	Factor1	-1.7132681624205582e-4	Human transcriptome
AHNAK	Factor1	0.03964032329160818	Human transcriptome
AHNAK2	Factor1	-0.004165262971453205	Human transcriptome
AHR	Factor1	0.0021434961318203298	Human transcriptome
AHSA1	Factor1	0.17455375244419236	Human transcriptome
AHSA2	Factor1	0.3144169654677633	Human transcriptome
AHSP	Factor1	-4.935831543259425e-6	Human transcriptome
AIDA	Factor1	0.0010359827912316442	Human transcriptome
AIF1	Factor1	-6.044031648225383e-6	Human transcriptome
AIF1L	Factor1	-1.9199869939930597e-4	Human transcriptome
AIFM1	Factor1	0.06005834886967363	Human transcriptome
AIFM2	Factor1	3.375425801409418e-5	Human transcriptome
AIG1	Factor1	2.4491122678318506e-4	Human transcriptome
AIM1	Factor1	0.3200390351633518	Human transcriptome
AIM1L	Factor1	-3.0464405621834056e-5	Human transcriptome
AIM2	Factor1	1.2527888443833814e-5	Human transcriptome
AIMP1	Factor1	0.0025504940573462345	Human transcriptome
AIMP2	Factor1	7.5187822935681244e-6	Human transcriptome
AIP	Factor1	-3.1969548554101935e-5	Human transcriptome
AJUBA	Factor1	4.421325124058104e-5	Human transcriptome
AK2	Factor1	1.5361268917185094e-5	Human transcriptome
AK3	Factor1	0.17239651937844006	Human transcriptome
AK4	Factor1	-3.3994806657708056e-4	Human transcriptome
AK5	Factor1	2.4459554850112545e-5	Human transcriptome
AK6	Factor1	4.386915627479248e-4	Human transcriptome
AKAP1	Factor1	0.004392858767913114	Human transcriptome
AKAP10	Factor1	1.0188946070039945e-4	Human transcriptome
AKAP11	Factor1	0.29379971387642645	Human transcriptome
AKAP12	Factor1	-4.309041591731749e-4	Human transcriptome
AKAP13	Factor1	0.24149049904498393	Human transcriptome
AKAP7	Factor1	1.7435124394662936e-4	Human transcriptome
AKAP8	Factor1	0.1673681690040317	Human transcriptome
AKAP8L	Factor1	7.489739326092582e-5	Human transcriptome
AKAP9	Factor1	0.023718427302721095	Human transcriptome
AKIP1	Factor1	1.0895669562745769e-4	Human transcriptome
AKIRIN1	Factor1	0.21776976971715617	Human transcriptome
AKIRIN2	Factor1	3.836098039368281e-5	Human transcriptome
AKNA	Factor1	1.8674227777564536e-4	Human transcriptome
AKR1A1	Factor1	4.300023866102748e-4	Human transcriptome
AKR1B1	Factor1	0.0037092890829770694	Human transcriptome
AKR1B10	Factor1	9.066997255423193e-6	Human transcriptome
AKR1C1	Factor1	-8.964700419122532e-5	Human transcriptome
AKR1C2	Factor1	-4.053318362795019e-6	Human transcriptome
AKR7A2	Factor1	6.795633008868945e-5	Human transcriptome
AKT1	Factor1	0.18960007396102907	Human transcriptome
AKT1S1	Factor1	6.724208125762738e-5	Human transcriptome
AKT2	Factor1	0.20098544316062414	Human transcriptome
AKT3	Factor1	0.11639242884789157	Human transcriptome
AKTIP	Factor1	6.726962507737747e-6	Human transcriptome
ALAD	Factor1	4.151738985160123e-5	Human transcriptome
