sample	cluster	condition	control
GSM1022678	2	Esophagus_EoE_cluster_2	FALSE
GSM1022679	4	Esophagus_EoE_cluster_4	FALSE
GSM1022680	2	Esophagus_EoE_cluster_2	FALSE
GSM1022681	2	Esophagus_EoE_cluster_2	FALSE
GSM1022682	3	Esophagus_EoE_cluster_3	FALSE
GSM1022683	2	Esophagus_EoE_cluster_2	FALSE
GSM1415912	5	Esophagus_EoE_cluster_5	FALSE
GSM1415913	5	Esophagus_EoE_cluster_5	FALSE
GSM1415914	5	Esophagus_EoE_cluster_5	FALSE
GSM1415915	5	Esophagus_EoE_cluster_5	FALSE
GSM1415916	5	Esophagus_EoE_cluster_5	FALSE
GSM1415917	5	Esophagus_EoE_cluster_5	FALSE
GSM1415918	5	Esophagus_EoE_cluster_5	FALSE
GSM1415919	5	Esophagus_EoE_cluster_5	FALSE
GSM1415920	5	Esophagus_EoE_cluster_5	FALSE
GSM1415921	5	Esophagus_EoE_cluster_5	FALSE
GSM3103946	5	Esophagus_EoE_cluster_5	FALSE
GSM3103947	2	Esophagus_EoE_cluster_2	FALSE
GSM3103948	5	Esophagus_EoE_cluster_5	FALSE
GSM3103949	2	Esophagus_EoE_cluster_2	FALSE
GSM3103950	5	Esophagus_EoE_cluster_5	FALSE
GSM3103951	5	Esophagus_EoE_cluster_5	FALSE
GSM3103952	5	Esophagus_EoE_cluster_5	FALSE
GSM3103953	5	Esophagus_EoE_cluster_5	FALSE
GSM3103954	5	Esophagus_EoE_cluster_5	FALSE
GSM3103955	2	Esophagus_EoE_cluster_2	FALSE
GSM4735803	1	Esophagus_EoE_cluster_1	FALSE
GSM4735804	2	Esophagus_EoE_cluster_2	FALSE
GSM4735795	2	Esophagus_EoE_cluster_2	FALSE
GSM4735797	5	Esophagus_EoE_cluster_5	FALSE
GSM4735802	1	Esophagus_EoE_cluster_1	FALSE
GSM4260265	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260266	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260267	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260268	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260269	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260270	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260271	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260272	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260273	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260274	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260275	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260276	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
