feature	factor	value	view
Acidianus sulfidivorans	Factor1	-0.006905540640778466	Archaea metatranscriptome
Acidilobus saccharovorans	Factor1	-0.011556932120279341	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor1	-1.9159896172170143	Archaea metatranscriptome
Metallosphaera hakonensis	Factor1	-0.004050652917761235	Archaea metatranscriptome
Methanococcus maripaludis	Factor1	-0.006844129246983304	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor1	-0.008472447055020687	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	-0.020377849718321857	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	-0.04993105725492769	Archaea metatranscriptome
Methanosarcina lacustris	Factor1	-0.005101396731020809	Archaea metatranscriptome
Methanosarcina mazei	Factor1	-0.011365787662358505	Archaea metatranscriptome
Thermococcus litoralis	Factor1	-0.009150793283133389	Archaea metatranscriptome
Thermococcus thioreducens	Factor1	-0.009413749597045702	Archaea metatranscriptome
Acidianus sulfidivorans	Factor2	-9.705057527342039e-7	Archaea metatranscriptome
Acidilobus saccharovorans	Factor2	-3.306738422775997e-7	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor2	-0.0011138289369440999	Archaea metatranscriptome
Metallosphaera hakonensis	Factor2	-1.008963333960765e-7	Archaea metatranscriptome
Methanococcus maripaludis	Factor2	-2.9276594237525324e-8	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor2	-4.506323320312352e-8	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor2	-6.738944425216485e-8	Archaea metatranscriptome
Methanosarcina barkeri	Factor2	-4.784664227178565e-7	Archaea metatranscriptome
Methanosarcina lacustris	Factor2	1.704261024226028e-8	Archaea metatranscriptome
Methanosarcina mazei	Factor2	-6.974161081890812e-9	Archaea metatranscriptome
Thermococcus litoralis	Factor2	-1.558239487162638e-6	Archaea metatranscriptome
Thermococcus thioreducens	Factor2	-2.3611096206089747e-7	Archaea metatranscriptome
Acidianus sulfidivorans	Factor3	1.7529311543875228e-6	Archaea metatranscriptome
Acidilobus saccharovorans	Factor3	1.453595614551115e-7	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor3	0.0013051302945875445	Archaea metatranscriptome
Metallosphaera hakonensis	Factor3	9.213652719513627e-9	Archaea metatranscriptome
Methanococcus maripaludis	Factor3	1.644425991741581e-7	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor3	9.3501565281816e-7	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor3	1.0413093585169668e-7	Archaea metatranscriptome
Methanosarcina barkeri	Factor3	-2.1779721897384418e-7	Archaea metatranscriptome
Methanosarcina lacustris	Factor3	6.807358707085829e-8	Archaea metatranscriptome
Methanosarcina mazei	Factor3	2.7799366129772515e-7	Archaea metatranscriptome
Thermococcus litoralis	Factor3	1.045554593818131e-6	Archaea metatranscriptome
Thermococcus thioreducens	Factor3	4.2855842742846217e-7	Archaea metatranscriptome
Acidianus sulfidivorans	Factor4	1.7320346507913126e-7	Archaea metatranscriptome
Acidilobus saccharovorans	Factor4	-2.8784976255920214e-8	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor4	8.908131539639262e-5	Archaea metatranscriptome
Metallosphaera hakonensis	Factor4	-8.855058365004046e-9	Archaea metatranscriptome
Methanococcus maripaludis	Factor4	6.486180994605169e-8	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor4	2.356477207392955e-7	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor4	-4.313385839928399e-8	Archaea metatranscriptome
Methanosarcina barkeri	Factor4	-4.875147675466758e-7	Archaea metatranscriptome
Methanosarcina lacustris	Factor4	2.9851029901059647e-8	Archaea metatranscriptome
Methanosarcina mazei	Factor4	1.6227073711319082e-8	Archaea metatranscriptome
Thermococcus litoralis	Factor4	1.2182720355822176e-7	Archaea metatranscriptome
Thermococcus thioreducens	Factor4	2.1147354226040608e-7	Archaea metatranscriptome
Acidianus sulfidivorans	Factor5	7.82256187376404e-7	Archaea metatranscriptome
Acidilobus saccharovorans	Factor5	-2.2480827044111857e-7	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor5	6.095958596038232e-4	Archaea metatranscriptome
Metallosphaera hakonensis	Factor5	-1.2555715353883132e-7	Archaea metatranscriptome
Methanococcus maripaludis	Factor5	4.87726347276042e-6	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor5	6.655962339289026e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor5	-1.334304378597349e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor5	-5.651746518585971e-8	Archaea metatranscriptome
Methanosarcina lacustris	Factor5	5.305475414204182e-8	Archaea metatranscriptome
Methanosarcina mazei	Factor5	6.898361249983529e-7	Archaea metatranscriptome
Thermococcus litoralis	Factor5	1.2904479811830204e-6	Archaea metatranscriptome
Thermococcus thioreducens	Factor5	-1.0612013204422195e-9	Archaea metatranscriptome
