DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
up	IGKV3-20; IGLV1-44; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-1; IGLV6-57; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-5; IGHV4-39; IGKC; IGHA2; APOA1; APOB; IGKV3-11; IGKV4-1; IGHV4-34; IGLC2; IGLC3; CD36; IGHV1-2; IGLV3-21;	GO:0006898~receptor-mediated endocytosis	31	160	19.375	0	0	0	0	0	0	0
up	CD36; IGHG2; IGHV1-2; IGHV3-33; IGHV3-30; IGHG1; IGLC2; IGHV3-7; IGHA2; IGHV3-21; IGHV2-5; IGHV3-11; IGHV4-39; IGHV1-46; IGHV3-15; IGHG3; IGHV3-48; IGKC; IGHV4-34; IGLC3; IGHV5-51; IGHV1-18; IGHV3-23;	GO:0006911~phagocytosis, engulfment	23	115	20	0	0	0	0	0	0	0
up	TLR4; CCL22; ADAMDEC1; IGKV3-20; IGLV1-44; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-1; IGLV6-57; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-5; IGHV4-39; IGKC; IGHA2; HLA-B; IGKV3-11; IGKV4-1; IGHV4-34; IFI6; CTLA4; IGHV1-2; CNR2; TNFRSF4; IGLV3-21; RGS1; GPR65; TRIM22; SEMA3C; ICOS; CD80; IGLV4-69; PF4; IFI44; IGLV3-10;	GO:0006955~immune response	44	433	10.161662817552	0	0	0	0	0	0	0
up	IGKV3-20; IGLV1-44; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-1; IGLV6-57; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-5; IGHV4-39; IGKC; IGHG1; IGHG2; IGHG3; C9; IGKV3-11; IGKV4-1; IGHV4-34; IGLC2; IGLC3; CD19; CR1; IGHV1-2; IGLV3-21;	GO:0030449~regulation of complement activation	33	113	29.2035398230088	0	0	0	0	0	0	0
up	TLR4; IFI6; CR1; EIF2AK2; IFI27; BST2; CD300E; DDX60; PLA2G2F; ZBP1; IGHV3-15; IGHV3-48; IGHV3-23; IGHV4-39; IGHV3-30; IGLC3; IGHV1-2; IGHV3-21; IGHV5-51; IGHV3-7; IGHV3-33; IGHV1-18; IGHV1-46; IGHG1; IGHA2; IGLC2; IGHG3; IGHV3-11; IGHV4-34; IGKC; IGHV2-5; IGHG2;	GO:0045087~innate immune response	32	505	6.33663366336634	0	0	0	0	0	0	0
up	IGKV3-20; IGLV1-44; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-1; IGLV6-57; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-5; IGHV4-39; IGKC; HLA-B; IGKV3-11; IGKV4-1; IGHV4-34; IGLC2; IGLC3; IFITM1; CD19; IGHV1-2; IGLV3-21; CD300E; LILRB1;	GO:0050776~regulation of immune response	32	216	14.8148148148148	0	0	0	0	0	0	0
down	ZNF320; ZNF316; ZNF785; BHLHE40; ZNF500; PDE8A; ZNF324; TCEA3; KAT7; ZBTB7A; SP1; ESRRA; ZNF7; TAF1; MZF1; CRABP2; PPP2R1A; ACVR1B; VHL; SOX2; DNM2; ZNF132; ZNF134; TMF1; FOXO4; ZNF45; RELA; TLE3; CHD3; FOXC1; PMS2P3; ZNF234; ZNF460; NCOA2; PCGF3; ZNF394; ZNF544; ZNF529; ZNF549; ZNF790; ZNF783; MTERF4; ZNF786; ZNF527; ZNF548; ZSCAN18; ZNF398; TGFBRAP1; RREB1; L3MBTL2; ZNF274; ZNF333; ZNF778; ZFP3; ZNF317; ZNF416; WWTR1; ASCC2; POFUT1; ZNF430; ZNF395; PAK6; SLC2A4RG; ZSCAN32; TERF2IP; IFNK; POGK; NLK; ZNF70; ZNF212; ZNF282; TCF20; AFF4; GTF2IRD1; SAP30BP; BAZ2A; ZNF229; SERTAD3; MAFB; SOX21; GPBP1L1; KDM3B; HMGA1; ATXN1L; YY1AP1; ACTR8; NSD1; ZNF646; ZNF221; ZBTB4; ZFAT;	GO:0006355~regulation of transcription, DNA-templated	91	824	11.0436893203883	0	0	0	0	0	0	0
down	PIK3CD; STK25; GAK; PDPK1; STK10; OXSR1; RAF1; ERBB2; LYN; BCR; PIM1; PSKH1; TAF1; CCND1; PRKCH; MAPK3; MARK3; MAPK1; ACVR1B; CSK; SYK; CSNK1D; MAPKAPK2; CSNK1E; CLK3; STK19; CDK9; RIPK4; CSNK2A1; PRKCE; MAP2K1; LIPE; PRKCZ; PRKCD; ST3GAL1; AKAP13; DYRK1A; PTK6; CCNI; PKN2; ADCK5; CDC42BPG; ADCK1; TLK2; PIM3; HIPK1; CAMK1D; LMTK2; STK40; MLKL; STKLD1; NEK9; STK35; PPP4R1; NPRL2; WNK4; MARK4; ALPK3; MAP3K5; PINK1; SIK2; TAOK3; HIPK2; WNK1; MKNK2; PICK1; SNRK; LATS2; FNIP2; NLK; STK39; HSPB8; DYRK1B; PRKAB1; CDC42BPB; STK24; RPS6KL1; CDK19; PHKA2; RPS6KB2; RPS6KA6; CDK20; CDK7; NRBP1; CDK16; CDKL2; CDK8;	GO:0006468~protein phosphorylation	87	482	18.0497925311203	0	0	0	0	0	0	0
down	AREL1; RNF40; RNF8; UBE4B; ARIH2; TAF1; UBE2A; USP11; FBXW4; UBE2B; TRIM32; OS9; CUL3; KEAP1; KCTD21; UBR4; RNF43; USP43; CACUL1; CUL9; TP53INP2; USP38; NPLOC4; TRPC4AP; SPSB1; ITCH; PINK1; KLHL25; SMURF2; SMURF1; ANAPC7; ANAPC2; STUB1; USP22; USP20; ARIH1; USP3; RNF215; NDFIP1; RNF167; UBE2D3; FBXW11; TOLLIP; UBE2H; RNF130; CUL4A; UBE3B; UBL7; UBE3C; RMND5B; CHFR; UBA1; RNF5; WWP2; UBE2D2; HECW2; HUWE1; FBXL16;	GO:0006511~ubiquitin-dependent protein catabolic process	58	291	19.9312714776632	0	0	0	0	0	0	0
down	AREL1; AXIN1; CFLAR; PHLPP1; NOL3; NME6; PPP1R15A; RAF1; PIM1; NFKBIA; MAPK3; MAPK1; PPP2R1A; HTT; BCAP31; CASP9; UBE2D3; CSNK2A1; PPP2R2B; PRKCE; RASSF7; MECOM; PPARD; NOTCH2; PRKCD; TIAM1; NME3; ADAM15; RIPK1; FKBP8; PEA15; DHCR24; SHB; PKN2; MAPK14; MAGI3; GRAMD4; BNIPL; SH3RF1; PIM3; PACS2; RNF130; PDCD7; PPP1R13L; PDCD6IP; RASSF5; DPF2; MUL1; ELMO3; ITCH; ELMO2; KREMEN1; NOX5; CSRNP1; BAG1; TRAF4; BCL2L13; CARD14; SUDS3; S100A14; PAK6; MTCH1; SAP30BP; TAOK2; BOK; TRIM35; NCKAP1; NISCH; SH3GLB1; FAM32A; DDIT4;	GO:0006915~apoptotic process	71	552	12.8623188405797	0	0	0	0	0	0	0
