DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
up	PARN; RPLP1; RPLP2; RPLP0; RPS17; RPSA; PABPC1; GSPT1; RPS2; RPL35A; RPL17; RPS3; RPS12; RPL13; RPL10; RPL12; RPL22; RPL4; EIF4A3; RPS19; RPL3; RPL13A; RPL35; RPL27A; RPL5; RPL28; RPS9; RPS5; RPS10; RPL29; RPL34; RPL14; NCBP2; EIF3E; RPS20; RPL26; RPL15; MAGOH; RPL27; RPL37A; RPL37; RPS7; RPS8; RPS15A; RPS16; RPS14; RPS23; RPS18; RPS29; RPS13; RPS11; RPL7A; ETF1; RPS4X; RPL23A; RPS6; RPL23; RPS15; RPS24; RPS25; RPS26; RPS28; RPL30; RPL39; RPL31; RPL10A; RPL32; RPL11; RPL8; RPL41; RPS27A; UBA52; PPP2R2A; RPL38; RPS21; PPP2CA; RPL24; RPL36A; RPL19; EXOSC10; RPL6; RPL18; NCBP1; DCP2; DCP1B; SMG8; MAGOHB; UPF3B; UPF3A; UPF2; DCP1A; RPL36; RBM8A;	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	93	117	79.4871794871795	0	0	0	0	0	0	0
up	ADAM10; TBX3; MAFG; BCL2L11; XRCC2; ADCY9; EIF4E2; ZFAND5; SYF2; MBD3; IGF2; MT-ND4; EDN1; ITGB1; POLB; GLI2; FGFR1; YBX3; EIF2S2; BTF3; CPT2; MSX1; INPP5B; CTNNB1; MYH9; MYH10; BMPR1A; TGFBR1; MSH2; SSR2; NOTCH1; LIG4; WNT3A; UBE2B; YBX1; ATP11A; OCRL; BCL2L1; FOXC1; CUL4A; ALKBH1; NPAT; ENDOG; PTPRR; TWIST1; SMAD2; MAN2A1; C2CD3; RNASEH2B; RPGRIP1L; UBR3; RBBP6; CIR1; MIB1; RDH10; WDR19; HM13; BRK1; GATA6; ALS2; APBA2; SMO; PRMT1; EGFL8; HINFP; SLC39A3; INPP5K; FUT8; UNK; NSRP1; DHX35; TMEM231; ARNT2; TANC2; EPB41L5; CHST11; MBNL1; RRN3; POLG2; KIDINS220; MAFF; COPS3; B9D1; RTCB; CHTOP; TRAF6; KLF2; FLVCR1; EPN1; SLC30A1;	GO:0001701~in utero embryonic development	90	203	44.3349753694581	0	0	0	0	0	0	0
up	SNAP23; PSMD11; PSMD12; PSMD14; PSMA7; CHUK; SEC22B; PSMD10; HLA-B; HLA-H; HLA-A; ITGAV; HLA-C; CYBA; HLA-E; NCF1; HLA-G; PSMC3; PSMB1; PSMA1; PSMA2; PSMA3; PSMA4; CALR; PSMB8; PSMB9; PSMA5; PSMB4; PSMB6; PSMB5; PDIA3; HLA-F; PSMC2; PSMB10; PSMC4; PSMD8; PSMB3; PSMB2; PSMD7; PSMD4; PSMA6; B2M; PSMC1; PSMC5; PSMC6; PSME1; PSMD2; PSMD6; NCF4; VAMP3; PSMD5; PSMB7; PSMD1; VAMP8; PSME2; PSMD13; IKBKG;	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	57	75	76	0	0	0	0	0	0	0
up	NFIB; ORC5; ORC4; RAD1; KIN; HUS1; NBN; CDC45; RAD17; RECQL4; KAT7; POLA1; CHTF8; RPA2; PTMS; RRM1; RPA1; RBMS1; DUT; MCM4; MCM5; MCM7; RPA3; RFC4; RFC2; FEN1; RFC5; NASP; MCM2; LIG4; DNA2; NAP1L1; POLE2; SET; POLE; DHX9; SSRP1; RBBP4; ORC2; TOP3A; ATR; WRN; MCM6; RBBP7; TBRG1; SDE2; TICRR; RBBP6; DTD1; CHTF18; ING5; KCTD13; TOPBP1; RAD50; KAT5; DNAJC2; RBBP8; BARD1; CDC6; RHNO1; TIPIN; CINP; CLSPN; NT5M; POLE3; MCM9; DONSON; DTL; ORC3; DBF4; REV1; MCM8; TIMELESS; POLH; SUPT16H; ORC6; TOP1;	GO:0006260~DNA replication	77	132	58.3333333333333	0	0	0	0	0	0	0
up	POLR2D; AQR; HMGN1; ERCC1; UBB; UBC; PCNA; RPA2; LIG1; POLR2C; ERCC3; TCEA1; RPA1; POLR2B; GTF2H1; RPA3; RFC4; RFC2; RFC1; RFC5; LIG3; CDK7; CCNH; MNAT1; POLR2H; POLR2J; POLR2K; COPS2; POLR2F; POLR2G; POLR2L; RBX1; RPS27A; UBA52; ERCC8; CUL4A; CUL4B; GTF2H3; POLD3; GTF2H5; COPS6; ERCC4; COPS5; USP7; ZNF830; COPS8; COPS4; COPS7B; COPS7A; ISY1; PPIE; COPS3;	GO:0006283~transcription-coupled nucleotide-excision repair	52	73	71.2328767123288	0	0	0	0	0	0	0
up	WWP2; MANBA; UBE2L6; ICMT; ABL1; PLAT; RPN1; RPN2; YES1; UBL4A; CPE; GGCX; ABL2; PHKA2; CDC34; SEPHS1; RABGGTB; ADPRH; UBE2D3; UBE2M; UBE2N; UBE2D2; UBA52; UBE2I; UBE2L3; PHEX; PIGH; NEDD8; UBE2S; QPCT; UEVLD; FBXO22; UBA3; MCRS1; WDYHV1; ATG3; PPP4R2; USP25; LCMT1; MSRA; NAGPA; FBXL2; FBXW2; RIMKLB; DUSP12; LIPT1; ST3GAL6; CSNK1G3; SERP1; UBL5;	GO:0006464~cellular protein modification process	50	82	60.9756097560976	0	0	0	0	0	0	0
up	ARNTL; E2F3; IPO13; SNUPN; TPR; NFKBIA; PML; CDKN1A; SYK; PTTG1IP; NUTF2; RAN; PPP3CA; MBTPS1; KPNB1; MED1; HIKESHI; RPAIN; APPL2; TNPO1; TMCO6; PRICKLE1; PPP1R10; PHB2; SIX2; TNPO3; NUP85; CSE1L; NUP88; NUP214; NUP107; NUP133; FAM53A; POM121C; NXT1; NUP155; IPO8; NUP98; POM121B; RANBP6; NUP50; NXT2; HEATR3; NUP153; IPO11; IPO5; IPO7;	GO:0006606~protein import into nucleus	47	79	59.4936708860759	0	0	0	0	0	0	0
up	STXBP3; EML1; NFIB; PHGDH; NDUFS4; BCL2L11; TSPAN2; CTNND1; CTNS; CLN5; NEURL1; ACSL3; EOMES; MBD3; CST3; COL4A1; GNAI3; EGR2; BCR; XRCC6; XRCC5; ARF4; ATP2B1; NF1; SYT1; CD9; PTPRG; ACAT1; MT3; AK4; ARRB2; RGS2; CASP2; PPP3CC; NES; RGS4; PPT1; BRCA2; RIDA; OXCT1; UFM1; RELN; HMGCS1; UBE3A; GRIN1; PTPN11; PPP3CA; ADCY1; GRIN2B; COX17; WRN; RAB3GAP1; MED1; DPYSL2; C2CD3; GJC2; NIPBL; BBS7; SPATA5; MDGA1; BCL2L2; CDK5RAP2; CDK5RAP1; IMMP2L; SRR; SHARPIN; ARL6; ARNT2; RAB18; UTP3; STK36; TBC1D23; SPHK1; SLC17A7; HESX1; CNTNAP2; BOK; PHF8; BAIAP2; UFC1; IRS2; PAFAH1B3; AMIGO2; PAFAH1B2; B3GNT5; ADGRL2; NNAT; SYNJ2;	GO:0007420~brain development	88	217	40.5529953917051	0	0	0	0	0	0	0
up	POM121C; IPO5; BIN1; DDX3X; ACOT8; PSMA7; XPO1; OGT; MAP3K7; CREB3; BNIP3L; DOK2; SYNCRIP; CCNT1; KIN; BRD4; NBN; RNGTT; EED; PRKRA; NUP155; AP1G2; MPDZ; RNF8; ATG12; UBR5; RTN3; SNAPIN; IPO7; AHSA1; TDP2; STAU1; HLA-B; HLA-A; SLC25A5; EIF4E; NPM1; HSP90AA1; LYN; HMGB1; HNRNPA1; POLA1; CALM1; HLA-C; HSPD1; TOP1; PCNA; SLC25A4; TPR; UNG; HLA-E; FDPS; PSMC3; RCC1; ERCC3; TBP; RAB6A; PSMB1; TAF1; VDAC1; HNRNPA2B1; FBLN1; BRD2; PSMA3; PSMA4; NFKBIA; MAPK3; CANX; PSMB8; PSMB9; PSMB4; PSMB6; PSMB5; MAPK1; RBL1; GTF2E1; SHC1; PML; YWHAB; CTNNB1; NUP214; TRIM23; IFI27; PSMB10; STAT1; SYK; RANBP1; CBX5; IQGAP1; CD151; CAMLG; CX3CR1; CEBPA; PSMB3; PSMB2; NUP153; RANBP2; BCAP31; CCR3; GTF2A2; MSH6; NUP98; COPB1; NUP107; EIF4A1; ABCE1; HNRNPK; YWHAE; RAN; RBX1; GRB2; SUMO1; DYNLL1; SKP1; RACK1; UBE2I; RAE1; GTF2B; HNRNPU; E2F1; SET; UBXN1; UBE3A; FMR1; C1QBP; BAX; SSRP1; NUP160; DLG1; BNIP1; NFX1; IK; CALCOCO2; GPS2; G3BP1; DYNC1I2; SERINC3; SNW1; CUL1; CUL2; CUL4A; DYRK1A; CDK13; MORC3; EIF4A2; TRIM25; BECN1; CUL7; EIF4H; ZMYND11; TAF5; TRAM1; CCDC85B; ZYX; NFE2L2; PKN2; MICA; SMU1; RAET1G; TAPT1; RICTOR; CRTC3; CRTC1; SRCAP; SND1; EIF3M; COPS6; NUP54; WAPL; PACS2; VRK2; ABI1; RBM15B; PDZD8; NUP43; NUP37; NUP35; GADD45GIP1; WDR48; DNAJB14; NUP210; NUP133; SLC20A1; DDX1; NUP205; TANK; RAD50; TNPO1; KAT5; USP7; CUL5; FBXW7; SIRT1; SEH1L; MCRS1; DDX11; BICD1; VPS35; SRPK1; RBM15; PSMB7; NUP88; PAAF1; YIPF4; NDC1; DERL1; HTATIP2; NUP58; NUP85; ULBP2; DERL2; RBM38; ACBD3; AZI2; TMEM134; COPS7B; XPO5; PARD6A; AAAS; APOBEC3C; LMBRD1; UCKL1; KCTD5; ABI2; ITSN2; NDUFA13; VAPA; VPS29; NXF1; COPS7A; DMBT1; TBK1; FBXW11; FBXL2; PILRA; RCOR1; NUP50; AKAP8L; G3BP2; USP24; BTRC; NCKAP1; AP3M1; DCAF1; USP15; YTHDF2; SUPT16H; HCFC2; DYNC1LI1; IKBKG;	GO:0016032~viral process	250	456	54.8245614035088	0	0	0	0	0	0	0
up	ITGB1BP1; ARPC5; PRPF40A; SNAI1; TGFB1; ITGB1; THBS1; CD63; LAMC1; FGFR1; LCP1; CD44; ARF4; SLC9A1; COL5A1; FGFR4; APC; L1CAM; PRKCI; PIK3CB; BDKRB1; IQGAP1; GSK3A; PTEN; TGFB2; RAB1A; SIRPA; FOXC1; TIAM1; BAMBI; PAK1; ADAM9; NFATC2; CUL3; FAT1; PTPRK; MAPRE1; CDC42BPA; SYDE2; TNS3; ARC; SCYL3; AVL9; NANOS1; KCTD13; TMEM18; SH3KBP1; SPATA13; PIP5K1A; FUT8; GOLPH3; DOCK5; SIX2; ABI2; ZRANB1; LIMD1; LIMA1; ADGRE2; STRIP2; ITGB2; LAMB3; CD151; NEDD9; FES; TYRO3; TNFAIP3; CORO1C; NTN4; PIK3CA; FMNL2; AXL; ITGB3; FMNL1; USP34; ARPC5L; FSCN2; ITGB4; ITGB6; NDEL1; RHOF; USP9Y; LAMB1; SDC3; ITGB8; TSPAN3; CDC42; CORO6; RHOQ; GPC3; NCKAP1; LAMA3; LAMC3; FER; RHOD; APC2; PIK3C2A; RHOC;	GO:0016477~cell migration	97	225	43.1111111111111	0	0	0	0	0	0	0
