DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
up	HP; JCHAIN; IGKV1-5; IGKV3-20; IGKV3-15; IGLV1-44; IGLV1-47; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-1; IGLV3-25; IGLV6-57; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; IGHA2; IGLV7-43; IGKV3-11; ITGB2; IGKV4-1; IGHV4-34; ASGR1; CD14; IGLC2; IGLC3; ITGAM; FCGR1A; FOLR2; CD36; IGHV1-2; FPR2; FCGR2B; HBB; HBA1; IGLV3-21; FCGR1B; STAB1; MARCO;	GO:0006898~receptor-mediated endocytosis	51	160	31.875	0	0	0	0	0	0	0
up	CD36; IGHV3-11; IGHV4-39; IGHV3-74; IGLL5; IGHG2; IGHV3-30; IGHV1-2; TRDC; IGHV1-46; IGHV3-64; TRBC2; IGHA2; IGHV1-3; IGHV1-18; IGHG4; IGHV3-15; IGHV3-49; IGHV3-21; IGLC3; IGHE; IGHV3-23; IGHV3-53; IGHG3; IGHV3-7; IGHM; IGHV2-5; IGHD; IGHV2-26; TRBC1; IGHV5-51; IGLC2; IGKC; IGHV6-1; IGHV4-31; IGHV3-48; IGHV4-59; IGHV4-34; IGHV3-33;	GO:0006910~phagocytosis, recognition	39	99	39.3939393939394	0	0	0	0	0	0	0
up	SIRPB1; DOK2; LILRA1; LILRB3; ADAP1; IGSF6; IL2RA; CD3D; ASGR2; CD3E; CD14; CD3G; LAG3; CXCR1; CXCR2; FPR2; KLRC1; CD27; CCR1; CXCR3; CCR5; KLRD1; ADGRE1; ADGRG3; ADGRF4; ADGRG5; ADGRF2; LILRB2; NFAM1; KLRG1; ADGRE3; KLRF1; CLEC1B; MARCO; ADGRE2; CLEC4A; SIGLEC9; LY96; TRBV24-1; TRBV6-4; TRBV19; TRBV6-6; TRBV5-1; TRBV6-1; TRBV27; TRBV7-3; CD8A; TRBV5-5; TRBV3-1; TRBV2; TRBV13; TRBV28; TRBV6-2; TRBV25-1; TRBV7-2; TRBV4-1; TRBV7-6; TRBV29-1; TRBV10-1; TRBV14; TRBV15; TRBV30; TRBV10-2; TRBV4-2; TRBV20-1; TRBV12-5; TRBV6-5; TRBV12-4; TRBV5-6; TRBV5-4; CD86; TRBV9; TRBV12-3; TRBV18; TRBV7-9; TRBV11-2; TRBV10-3;	GO:0007166~cell surface receptor signaling pathway	77	268	28.7313432835821	0	0	0	0	0	0	0
up	EREG; F13A1; POMC; IL2RA; IGHE; IGHG4; PF4; ITGB2; FCER2; HCK; ALOX5; ITGAM; CCL4; CCL5; OSM; MMP9; IL2RB; CD36; TNFRSF1B; ITGAX; FPR1; PTPRZ1; IL32; PRTN3; PTPN6; CCR1; CSF2RB; FLT3; CCR2; CD86; FASLG; CEBPA; CCR5; IL5RA; IL10RA; IL16; IRF4; BATF; CSF3R; IL23A; IL1RAP; IL36B; IL36G; IL36RN; IFNGR1;	GO:0019221~cytokine-mediated signaling pathway	45	278	16.1870503597122	0	0	0	0	0	0	0
up	IGKV1-5; IGKV3-20; IGKV3-15; IGLV1-44; IGLV1-47; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-1; IGLV3-25; IGLV6-57; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; IGHE; IGLV7-43; IGKV3-11; IGKV4-1; IGHV4-34; IGLC2; IGLC3; FCER1A; IGHV1-2; FCER1G; LILRA4; IGLV3-21; MS4A2; BTK; LAT2;	GO:0038095~Fc-epsilon receptor signaling pathway	41	171	23.9766081871345	0	0	0	0	0	0	0
up	TRAV19; CD300LB; NCR3; TYROBP; SH2D1A; LILRA1; NCR1; CRTAM; IGKV1-5; IGKV3-20; IGKV3-15; IGLV1-44; IGLV1-47; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV2-8; IGLV3-19; IGLV3-1; IGLV3-25; IGLV6-57; CD8A; TRBV12-3; TRAV8-4; IGHV1-46; IGHV3-11; IGHV3-48; IGHV3-23; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; TRAC; TRBC1; IGLV7-43; CD3D; IGKV3-11; TRBV7-9; TRAV29DV5; ITGB2; IGKV4-1; IGHV4-34; CD3E; FCGR3A; CD3G; IGLC2; IGLC3; CD8B; FCGR1A; ICAM2; SELL; CD19; CD1D; HLA-G; LAG3; CD33; CD22; ITGAL; CD247; IGHV1-2; KLRC1; CD1C; CD40LG; FCGR2B; ICAM3; KIR2DL1; KIR2DL3; KIR3DL1; KIR3DL2; IGLV3-21; CD300C; KLRD1; CD300E; TREML2; LAIR2; CLEC4G; TREML4; TREML1; OSCAR; LILRB2; LILRB1; CD300LF; SLAMF6; TREM1; KLRF1; HCST; CD300A; PILRA; SIGLEC7; SIGLEC9; BTNL8; BTNL3;	GO:0050776~regulation of immune response	97	216	44.9074074074074	0	0	0	0	0	0	0
up	SH3KBP1; NOD2; IGHV2-26; IGHV3-53; IGHG3; IGHV3-49; IGHG4; IGLC3; IGHV3-15; IGHV4-39; IGHV3-64; IGHV3-21; IGHD; IGHV4-59; IGHV3-23; IGHM; IGHV1-2; TRBC1; IGHV1-18; IGLL5; IGHV3-74; IGHV3-48; IGHV3-11; TRBC2; IGHG2; IGHV3-33; IGHE; IGLC2; IGHV1-46; IGHV4-31; IGHV5-51; IGHV1-3; IGHV6-1; IGHV4-34; IGHV3-7; IGHA2; TRDC; IGKC; IGHV3-30; IGHV2-5;	GO:0050871~positive regulation of B cell activation	40	98	40.8163265306122	0	0	0	0	0	0	0
down	ENC1; APAF1; DSCAM; SHOX2; TRIM3; GJB1; INHBA; FGF5; L1CAM; GDNF; LHX1; APLP1; DLG4; JAG1; SPOCK1; CRMP1; EFNB3; TTLL7; DPF1; FGF11; MARK4; SCN2A; FEZ1; PCDHAC1; PCDHB2; PCDHA11; PCDHAC2; NAV3; NRSN2; AXL; NAV1; RBFOX2;	GO:0007399~nervous system development	32	294	10.8843537414966	0	0	0	0	0	0	0
down	DLL1; TAX1BP3; TGFB1I1; SLIT3; HRAS; APP; JUN; TFAP2A; INHBA; PTHLH; FOSL1; CDKN1A; CDH13; TGFB2; ADARB1; SOX4; IL24; DHRS2; PKD2; PTPRK; PTPN14; SPEG; PDPN; P3H3; SIRT6; DLG5; PTPRU; PROX1; E2F7; SH3BP4; ADAMTS1; FBXO2;	GO:0008285~negative regulation of cell population proliferation	32	396	8.08080808080808	0	0	0	0	0	0	0
down	LAMA5; ITGB1; THBS1; LAMC1; CD44; CDH2; PLCG1; L1CAM; VAV2; BCAR1; TGFB2; PTK7; DOCK1; FAT1; PTPRK; FSCN1; SYDE1; LIMA1; LAMB3; GPC4; CD151; AXL; GPC1; ITGB4; ITGB6; LAMB1; SDC3; RHOB; CORO6; LAMA3; ITGB5;	GO:0016477~cell migration	31	225	13.7777777777778	0	0	0	0	0	0	0
