DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
up	WNT7A; NRP1; FGF10; HOXA3; TBX1; HS6ST1; NRP2; RAMP2; FGF18; TSPAN12; FN1; PDGFA; HRG; THY1; APOD; SERPINE1; FGF1; JUN; ITGAV; ANXA2; MMP2; COL4A2; CCL2; CEACAM1; HOXB3; VEGFA; EFNA1; FGFR2; PTPRB; COL8A2; COL8A1; EPHB2; SHC1; S100A7; APLNR; SOX18; KDR; GJA5; COL15A1; ELK3; MCAM; MEOX2; MMP14; VAV2; EPHB4; HAND2; JAG1; HSPG2; CAV1; PTK2; MFGE8; FAP; FZD5; PRKD1; SHB; TGFBI; CALCRL; ECM1; ECSCR; RASIP1; DAB2IP; CSPG4; CXCL17; ADM2; ARHGAP22; UNC5B; PLCD3; NRCAM; MMP19; EPAS1; ANGPTL4; FZD8; RHOJ; CCDC134; SOX17; TNFRSF12A; DLL4; TMEM100; EGFL7; APLN; HIF3A; AMOTL1; PGF; VEGFC; RAMP3; VEGFD; TBX4;	GO:0001525~angiogenesis	87	230	37.8260869565217	0	0	0	0	0	0	0
up	PCDH17; PLXNB2; PCDH7; PCDHGA12; CLSTN1; ITGB1; CEACAM5; RET; CDH1; CEACAM1; CDH13; DSG2; FAT1; SDK2; FAT4; DCHS2; SDK1; AMIGO2; DSG4; CADM3; PCDH19; NECTIN2; CDHR1; PCDHB18P; CADM1; PCDHAC1; ROBO2; PCDH18; CELSR2; PCDHB16; CELSR1; FAT2; TENM3; CDH22; PLXNB3; PCDHB10; PCDHGC3; PCDHGB4; PCDHA7; PCDHA4; PCDHB9; PCDHB7; PCDHB5; PCDHB4; PCDHB3; PCDHB2; PCDHB14; PCDHB13; PCDHB12; PCDHGC5; PCDHGC4; PCDHGB7; PCDHGB5; PCDHGB3; PCDHGB2; PCDHGB1; PCDHGA9; PCDHGA8; PCDHGA6; PCDHGA5; PCDHGA4; PCDHA3; PCDHA10; ROBO1; CDH15; CNTN4; VSTM2L; MYOT; CDH19; PALLD; PVR; IGSF9; L1CAM; CDH11; IGSF21; CDH6; CDH26; CDH3; HMCN1; CDH2; CDH24; CDH8; CDH12;	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	83	165	50.3030303030303	0	0	0	0	0	0	0
up	MATN2; CHL1; NTN3; NRP1; FLRT2; NRP2; GFRA3; SLIT3; TRIO; NFASC; NTRK1; RET; NGFR; GLI2; GLI3; SRC; BMP7; ANOS1; BDNF; PAX6; EPHB2; SHC1; L1CAM; GPC1; GDNF; WNT5A; CXCL12; ETV1; LAMB2; GFRA1; WNT3; WNT3A; VLDLR; PTK2; MAPK7; SEMA3F; TUBB3; CRMP1; GRB7; SHH; EXT1; FOXD1; ARTN; CNTN4; NEO1; APBB2; FEZ1; NRTN; SEMA3C; BOC; SHANK3; NTN4; ROBO2; FLRT3; MYOT; ROBO1; VSTM2L; EFNA2; EPHA3; IGSF9; LAMA1; EFNB2; CYFIP1; UNC5B; EFNB1; EPHA2; EFNA1; LRTM1; EFNB3; UNC5C; PALLD;	GO:0007411~axon guidance	71	206	34.4660194174757	0	0	0	0	0	0	0
up	FOXE1; LAMA5; PLXNB1; PAK4; ITGB1; CDK1; THBS1; CD63; PTPRF; LAMC1; CEACAM1; CD44; CDH2; HOXA5; EFNA1; FGFR4; EPHA2; EPHA3; L1CAM; PRKCI; BDKRB1; VAV2; EMP2; BCAR1; TGFB2; PRKCZ; PTK7; ADAM9; SHROOM2; TNFAIP1; PTK6; SCRIB; DOCK1; HES1; FAT1; PTPRK; FSCN1; CDC42BPA; SYDE1; MISP; ASAP3; DEPDC1B; PALLD; ELMO3; RHBDF1; LURAP1; FAM83D; SIX2; PAK5; LIMA1; STRIP2; CDC42BPB; GPC6; LAMB3; TSPAN11; GPC4; CD151; TYRO3; ITGBL1; KDR; NTN4; FMNL2; AXL; SDC1; GPC1; LAMB2; ITGB4; ITGB6; RHOJ; PIK3C2G; EFS; LAMB1; SDC3; CORO6; LAMA3; CLEC14A; ITGB5; RHOC;	GO:0016477~cell migration	78	225	34.6666666666667	0	0	0	0	0	0	0
up	PDLIM1; NPHP1; LRP6; NTN1; PAK4; ANXA1; THY1; KRT18; ANXA2; CDH1; SRC; CD44; CRISP2; CDH2; ITGA6; COL8A2; SHC1; CTNNB1; SOX9; ITGA8; CX3CL1; FOXF1; TRIM29; SCRIB; FAT1; CNN3; COL13A1; CDH24; NLGN2; DLG5; FBLIM1; ADGRV1; NRCAM; PDLIM5; PKP2; TENM2; CRNN; BAIAP2L1; CTNNA3; ICAM5; BAIAP2; F11R; CDH6; DSG4; CDH11; LAMA3; CELSR1; CDH13; CELSR2; CDH12; CDH3; PKP4; FAT2; FAT4; COL16A1; DSG2; CDH26; CDH15; CDH19; IGSF5; DLG2; CDH8; LAMA5;	GO:0098609~cell-cell adhesion	63	152	41.4473684210526	0	0	0	0	0	0	0
down	TRAV27; NCR3; TNFSF14; FCGR3B; IL18RAP; IGSF6; S1PR4; IL2RA; IGLV3-19; TRBV12-3; TRAV8-4; IGHV3-13; TRBC1; IGHD; HLA-B; MBP; TRGV3; TRGC2; IGLV7-43; TRBV7-9; TRAV29DV5; CD8B; GZMA; OSM; FCAR; HRH2; IL2RG; CEACAM8; GPR183; TNFSF8; CNR2; PTGER4; CD79B; KIR2DL1; KIR2DL3; KIR3DL1; CRIP1; IFITM2; IRF8; IL10RB; IL16; GPR65; LILRB2; FCGR1B; SEMA4D; IGLV5-45; CXCR1; TRAV18; IGLV9-49; TRAV38-1; CXCR5; IGLV3-16; TLR8; PF4V1; CXCR3; TRAV2; CCR7; IGLV5-37; IGLV3-9; TRDV1; TRDV2; PF4; PPBP; HLA-E; CCR6; TRAV14DV4; TRAV9-2; CXCR2; TRAV40; CCR8; IGKV1-8; TRAV38-2DV8; TRAV19; CCR2;	GO:0006955~immune response	74	433	17.0900692840647	0	0	0	0	0	0	0
down	TNFRSF13B; LILRA1; ADAP1; IGSF6; IFNG; IL2RA; CD3D; GP1BA; CD3G; CXCR1; CXCR2; CD27; VIPR1; CDA; CXCR3; ADGRE1; CASP8; LILRB2; CASP10; P2RX7; BAG1; ADGRE3; CLEC1B; ADGRE2; CLEC4A; CYSLTR1; TRBV24-1; TRBV6-4; TRBV19; TRBV6-6; TRBV5-1; TRBV6-1; TRBV27; TRBV5-5; TRBV3-1; TRBV2; TRBV13; TRBV28; TRBV6-2; TRBV11-1; TRBV25-1; TRBV7-2; TRBV4-1; TRBV7-6; TRBV29-1; TRBV10-1; TRBV7-7; TRBV14; TRBV15; TRBV30; TRBV4-2; TRBV20-1; TRBV7-4; TRBV12-5; TRBV6-5; TRBV12-4; TRBV5-6; TRBV23-1; TRBV5-4; TRBV9; TRBV12-3; TRBV18; TRBV7-9; TRBV11-2; TRBV10-3;	GO:0007166~cell surface receptor signaling pathway	65	268	24.2537313432836	0	0	0	0	0	0	0
down	FCN1; SIGLEC5; TYROBP; GMFG; FCGR3B; PGLYRP1; TMEM63A; HP; HLA-B; LRG1; ORM1; PPBP; ELANE; ALOX5; RNASE2; FCGR2A; RNASE3; DEFA4; BPI; CD53; AZU1; ITGAL; MMP8; FCAR; PRTN3; CXCR1; CXCR2; PTPN6; CEACAM8; CDA; CD68; CHI3L1; CEACAM3; MNDA; P2RX1; HK3; IST1; NCKAP1L; VAMP2; ADAM8; S100A12; RHOG; SIGLEC14; LRMP; ASAH1; CLEC12A; NBEAL2; UNC13D; DOK3; TBC1D10C; SLC44A2; GHDC; LILRB2; MOSPD2; CLEC4C; ARHGAP45; RAB24; RAB37; HVCN1; MS4A3; CPPED1; ARHGAP9; ADGRE3; RHOF; RETN; BIN2; CD300A; PPIE;	GO:0043312~neutrophil degranulation	68	483	14.0786749482402	0	0	0	0	0	0	0
down	TRGV8; TRDV1; TRDV2; LILRA5; CD300LB; TYROBP; PGLYRP1; LY86; TRGV3; C4BPA; LYN; RNASE3; DEFA4; HLA-E; NCF2; TRIM23; SYK; KIR2DS4; JAK3; NLRP6; LILRA4; S100A12; SIGLEC14; SLAMF1; CD300E; CLEC6A; TNFAIP8L2; TREML1; LILRA2; IL27; CLEC4C; RNASE6; RNF166; PLD4; SIGLEC10; CD180; TRGV9; MAP3K5; LY9; TLR8; TRIM10; FBXO9; CLEC4A; TRDC; IGHV2-26; TRBC1; TRBC2; IGHV3-13; IGLL5; IGHV3-64; IGHV4-31; BPI; IGHD;	GO:0045087~innate immune response	53	505	10.4950495049505	0	0	0	0	0	0	0
down	TRAV19; CD300LB; NCR3; TYROBP; LILRA1; NCR1; IGLV3-19; TRBV12-3; TRAV8-4; IGHV3-13; TRBC1; HLA-B; IGLV7-43; CD3D; TRBV7-9; TRAV29DV5; CD3G; CD8B; HLA-E; CD19; ITGAL; CD40LG; ICAM3; KIR2DL1; KIR2DL3; KIR3DL1; KIR3DL2; CD300E; TREML2; LAIR2; JAML; TREML1; LILRB2; LILRB1; CD300LF; CD300A; PILRA; SIGLEC7; BTNL8;	GO:0050776~regulation of immune response	39	216	18.0555555555556	0	0	0	0	0	0	0
