sample	cluster	condition	control
GSM1022690	5	Esophagus_Control_cluster_5	TRUE
GSM1022691	1	Esophagus_Control_cluster_1	TRUE
GSM1022692	3	Esophagus_Control_cluster_3	TRUE
GSM1022693	2	Esophagus_Control_cluster_2	TRUE
GSM1022694	5	Esophagus_Control_cluster_5	TRUE
GSM1022695	3	Esophagus_Control_cluster_3	TRUE
GSM1415906	2	Esophagus_Control_cluster_2	TRUE
GSM1415907	2	Esophagus_Control_cluster_2	TRUE
GSM1415908	3	Esophagus_Control_cluster_3	TRUE
GSM1415909	3	Esophagus_Control_cluster_3	TRUE
GSM1415910	3	Esophagus_Control_cluster_3	TRUE
GSM1415911	3	Esophagus_Control_cluster_3	TRUE
GSM3103956	1	Esophagus_Control_cluster_1	TRUE
GSM3103957	4	Esophagus_Control_cluster_4	TRUE
GSM3103958	4	Esophagus_Control_cluster_4	TRUE
GSM3103959	1	Esophagus_Control_cluster_1	TRUE
GSM3103960	5	Esophagus_Control_cluster_5	TRUE
GSM3103961	5	Esophagus_Control_cluster_5	TRUE
GSM3103962	1	Esophagus_Control_cluster_1	TRUE
GSM3103963	4	Esophagus_Control_cluster_4	TRUE
GSM3103964	4	Esophagus_Control_cluster_4	TRUE
GSM3103965	5	Esophagus_Control_cluster_5	TRUE
GSM4735796	1	Esophagus_Control_cluster_1	TRUE
GSM2769396	3	Esophagus_ESCs_Control_cluster_3	TRUE
GSM2769397	5	Esophagus_ESCs_Control_cluster_5	TRUE
GSM2769398	5	Esophagus_ESCs_Control_cluster_5	TRUE
