sample	cluster	condition	control
GSM1022678	3	Esophagus_EoE_cluster_3	FALSE
GSM1022679	4	Esophagus_EoE_cluster_4	FALSE
GSM1022680	5	Esophagus_EoE_cluster_5	FALSE
GSM1022681	3	Esophagus_EoE_cluster_3	FALSE
GSM1022682	4	Esophagus_EoE_cluster_4	FALSE
GSM1022683	5	Esophagus_EoE_cluster_5	FALSE
GSM1415912	4	Esophagus_EoE_cluster_4	FALSE
GSM1415913	4	Esophagus_EoE_cluster_4	FALSE
GSM1415914	2	Esophagus_EoE_cluster_2	FALSE
GSM1415915	2	Esophagus_EoE_cluster_2	FALSE
GSM1415916	2	Esophagus_EoE_cluster_2	FALSE
GSM1415917	4	Esophagus_EoE_cluster_4	FALSE
GSM1415918	4	Esophagus_EoE_cluster_4	FALSE
GSM1415919	4	Esophagus_EoE_cluster_4	FALSE
GSM1415920	2	Esophagus_EoE_cluster_2	FALSE
GSM1415921	2	Esophagus_EoE_cluster_2	FALSE
GSM3103946	1	Esophagus_EoE_cluster_1	FALSE
GSM3103947	1	Esophagus_EoE_cluster_1	FALSE
GSM3103948	2	Esophagus_EoE_cluster_2	FALSE
GSM3103949	3	Esophagus_EoE_cluster_3	FALSE
GSM3103950	2	Esophagus_EoE_cluster_2	FALSE
GSM3103951	2	Esophagus_EoE_cluster_2	FALSE
GSM3103952	1	Esophagus_EoE_cluster_1	FALSE
GSM3103953	1	Esophagus_EoE_cluster_1	FALSE
GSM3103954	1	Esophagus_EoE_cluster_1	FALSE
GSM3103955	2	Esophagus_EoE_cluster_2	FALSE
GSM4735803	5	Esophagus_EoE_cluster_5	FALSE
GSM4735804	2	Esophagus_EoE_cluster_2	FALSE
GSM4735795	5	Esophagus_EoE_cluster_5	FALSE
GSM4735797	2	Esophagus_EoE_cluster_2	FALSE
GSM4735802	5	Esophagus_EoE_cluster_5	FALSE
GSM2769396	5	Esophagus_ESCs_Control_cluster_5	TRUE
GSM2769397	2	Esophagus_ESCs_Control_cluster_2	TRUE
GSM2769398	2	Esophagus_ESCs_Control_cluster_2	TRUE
