feature	factor	value	view
A2M	Factor1	0.05892833305019358	Human transcriptome
A2ML1	Factor1	-0.009953668549292975	Human transcriptome
A4GALT	Factor1	0.015678262774759116	Human transcriptome
AAAS	Factor1	0.015034622978776063	Human transcriptome
AACS	Factor1	0.03466786627945844	Human transcriptome
AADAC	Factor1	7.714186439143719e-4	Human transcriptome
AAED1	Factor1	0.003709065246569349	Human transcriptome
AAGAB	Factor1	0.018522896037955032	Human transcriptome
AAK1	Factor1	0.052428529745798334	Human transcriptome
AAMP	Factor1	0.03516184975638318	Human transcriptome
AAR2	Factor1	0.018178828001885364	Human transcriptome
AARS	Factor1	0.048400094348528676	Human transcriptome
AARS2	Factor1	0.011269816143733234	Human transcriptome
AASDH	Factor1	0.00693730169284805	Human transcriptome
AASDHPPT	Factor1	0.015189353317104592	Human transcriptome
AASS	Factor1	4.738801415047869e-4	Human transcriptome
AATBC	Factor1	0.004748642532231561	Human transcriptome
AATF	Factor1	0.03502949785614193	Human transcriptome
AATK	Factor1	0.0034705739519080596	Human transcriptome
ABAT	Factor1	0.012649104467489129	Human transcriptome
ABCA1	Factor1	0.03898215667811504	Human transcriptome
ABCA10	Factor1	0.0019378937724748532	Human transcriptome
ABCA12	Factor1	0.008780358192274573	Human transcriptome
ABCA13	Factor1	0.0038873476542167756	Human transcriptome
ABCA2	Factor1	0.012166750387792137	Human transcriptome
ABCA5	Factor1	5.273628118767103e-4	Human transcriptome
ABCA7	Factor1	0.012498453289649738	Human transcriptome
ABCA8	Factor1	0.0010354104095294553	Human transcriptome
ABCB1	Factor1	0.0036719205141308225	Human transcriptome
ABCB10	Factor1	0.011416301993569593	Human transcriptome
ABCB7	Factor1	0.013947619503119967	Human transcriptome
ABCB8	Factor1	0.019210341595297872	Human transcriptome
ABCB9	Factor1	0.0028909107753224586	Human transcriptome
ABCC1	Factor1	0.04039499053707834	Human transcriptome
ABCC10	Factor1	0.012679840569684882	Human transcriptome
ABCC3	Factor1	0.00836606586598865	Human transcriptome
ABCC4	Factor1	0.010649087209856283	Human transcriptome
ABCC5	Factor1	0.04342846105603201	Human transcriptome
ABCD3	Factor1	0.04276677891745582	Human transcriptome
ABCD4	Factor1	0.015608597343005298	Human transcriptome
ABCE1	Factor1	0.011584253259284829	Human transcriptome
ABCF1	Factor1	0.03572661096556916	Human transcriptome
ABCF2	Factor1	0.006028587204296903	Human transcriptome
ABCF3	Factor1	0.022721022048026417	Human transcriptome
ABCG1	Factor1	0.008903766113283413	Human transcriptome
ABHD10	Factor1	0.009502720728768167	Human transcriptome
ABHD11	Factor1	0.008555758787768614	Human transcriptome
ABHD12	Factor1	0.031046258034396555	Human transcriptome
ABHD13	Factor1	0.009186115439665427	Human transcriptome
ABHD14B	Factor1	0.012703980837154972	Human transcriptome
ABHD15	Factor1	0.005873670024046034	Human transcriptome
ABHD17A	Factor1	0.013315637318259063	Human transcriptome
ABHD17B	Factor1	0.0079727165392012	Human transcriptome
ABHD17C	Factor1	0.029171416452299547	Human transcriptome
ABHD18	Factor1	1.7272313404437356e-4	Human transcriptome
ABHD2	Factor1	0.049740938256040805	Human transcriptome
ABHD3	Factor1	0.0130534247576946	Human transcriptome
ABHD4	Factor1	0.036061519983119794	Human transcriptome
ABHD5	Factor1	0.011304420712490767	Human transcriptome
ABHD6	Factor1	0.005152314517476322	Human transcriptome
ABI1	Factor1	0.07113137423801923	Human transcriptome
ABI2	Factor1	0.00808815594854197	Human transcriptome
ABI3BP	Factor1	0.0039697607103466965	Human transcriptome
ABL1	Factor1	0.04663232664257452	Human transcriptome
ABL2	Factor1	0.018909873123876406	Human transcriptome
ABLIM1	Factor1	0.058032904468740765	Human transcriptome
ABLIM2	Factor1	0.008654391610917208	Human transcriptome
ABLIM3	Factor1	0.002801700272961131	Human transcriptome
ABO	Factor1	0.009623285050181958	Human transcriptome
ABR	Factor1	0.10948664183395139	Human transcriptome
ABRACL	Factor1	0.0061040546696894205	Human transcriptome
ABT1	Factor1	0.01104109019743671	Human transcriptome
ABTB2	Factor1	0.0010183659937616281	Human transcriptome
AC000123.2	Factor1	-8.198559452711421e-5	Human transcriptome
AC002543.2	Factor1	-3.9631065131787585e-5	Human transcriptome
AC004951.5	Factor1	3.481538385528215e-4	Human transcriptome
AC005042.2	Factor1	-1.5211480020039087e-5	Human transcriptome
AC005083.1	Factor1	7.203779096919528e-4	Human transcriptome
AC005154.6	Factor1	0.0020859013342018726	Human transcriptome
AC005532.5	Factor1	-0.0024692574691496604	Human transcriptome
AC005682.5	Factor1	0.0024711976371295944	Human transcriptome
AC006978.6	Factor1	0.0031361734224331812	Human transcriptome
AC009120.6	Factor1	-1.461914318770708e-4	Human transcriptome
AC009237.8	Factor1	9.37366785430351e-5	Human transcriptome
AC009948.5	Factor1	1.8360466201147092e-4	Human transcriptome
AC010969.1	Factor1	1.321348004004813e-5	Human transcriptome
AC011747.4	Factor1	-4.3281171423578126e-5	Human transcriptome
AC012613.2	Factor1	-3.737217569069524e-4	Human transcriptome
AC013461.1	Factor1	0.02420386336446886	Human transcriptome
AC024560.3	Factor1	0.01323575071401898	Human transcriptome
AC074286.1	Factor1	0.005588742874987375	Human transcriptome
AC078842.4	Factor1	-1.1808167816577936e-4	Human transcriptome
AC083843.1	Factor1	-0.002074908847539368	Human transcriptome
AC084082.3	Factor1	-1.7909061448379616e-5	Human transcriptome
AC093323.3	Factor1	0.005753804878970573	Human transcriptome
AC093381.2	Factor1	2.2180972174804547e-5	Human transcriptome
AC093838.4	Factor1	0.006328444049657831	Human transcriptome
AC098617.1	Factor1	-2.5187459413405648e-5	Human transcriptome
AC103563.8	Factor1	-2.2315018783195824e-4	Human transcriptome
AC103563.9	Factor1	-2.7055131372037125e-4	Human transcriptome
AC108066.1	Factor1	3.0785801072742155e-5	Human transcriptome
AC114812.10	Factor1	-7.516976771625347e-5	Human transcriptome
AC114812.8	Factor1	-2.178194427159109e-5	Human transcriptome
AC114812.9	Factor1	-9.589234785450858e-5	Human transcriptome
AC137932.5	Factor1	0.004587507500055273	Human transcriptome
AC144831.1	Factor1	0.0010370148718941725	Human transcriptome
ACAA1	Factor1	0.02155257551796237	Human transcriptome
ACAA2	Factor1	0.010751871262150643	Human transcriptome
ACACA	Factor1	0.05611576222148169	Human transcriptome
ACACB	Factor1	0.006464335280873291	Human transcriptome
ACAD10	Factor1	0.012940185773067112	Human transcriptome
ACAD8	Factor1	0.011658076113198648	Human transcriptome
ACAD9	Factor1	0.028147548586979636	Human transcriptome
ACADM	Factor1	0.011572583709884001	Human transcriptome
ACADS	Factor1	0.007703144957071508	Human transcriptome
ACADSB	Factor1	0.008411044228985677	Human transcriptome
ACADVL	Factor1	0.11362822848198786	Human transcriptome
ACAP2	Factor1	0.002751128303406882	Human transcriptome
ACAP3	Factor1	0.03349180627341986	Human transcriptome
ACAT1	Factor1	0.013466382388931747	Human transcriptome
ACAT2	Factor1	0.014048039325082909	Human transcriptome
ACBD3	Factor1	0.02490196143542099	Human transcriptome
ACBD5	Factor1	0.021166573890964713	Human transcriptome
ACBD6	Factor1	0.015174076557253982	Human transcriptome
ACCS	Factor1	0.008647472333135127	Human transcriptome
ACD	Factor1	0.0062770635492160965	Human transcriptome
ACER3	Factor1	0.015690229669145055	Human transcriptome
ACIN1	Factor1	0.07796245281405206	Human transcriptome
ACKR1	Factor1	4.81021174313182e-4	Human transcriptome
ACKR3	Factor1	0.005509227702052727	Human transcriptome
ACLY	Factor1	0.08002195569547661	Human transcriptome
ACO1	Factor1	0.032664769762239275	Human transcriptome
ACO2	Factor1	0.04235366773810657	Human transcriptome
ACOT11	Factor1	0.00339549248923914	Human transcriptome
ACOT13	Factor1	0.005710292987368405	Human transcriptome
ACOT2	Factor1	0.005462591991993888	Human transcriptome
ACOT7	Factor1	0.021983319139472542	Human transcriptome
ACOT8	Factor1	0.0057501665960621035	Human transcriptome
ACOT9	Factor1	0.013435937693550717	Human transcriptome
ACOX1	Factor1	0.07840485882413119	Human transcriptome
ACOX3	Factor1	0.034411460978784454	Human transcriptome
ACP1	Factor1	0.0203798652037338	Human transcriptome
ACP2	Factor1	0.00757532402594973	Human transcriptome
ACP5	Factor1	0.007022830996438954	Human transcriptome
ACP6	Factor1	0.012104088845756263	Human transcriptome
ACPP	Factor1	-3.3661039549146444e-4	Human transcriptome
ACSF2	Factor1	0.010849550290785308	Human transcriptome
ACSF3	Factor1	0.014474503325414315	Human transcriptome
ACSL1	Factor1	0.04744181898807129	Human transcriptome
ACSL3	Factor1	0.015586622210287584	Human transcriptome
ACSL4	Factor1	9.324879704034097e-4	Human transcriptome
ACSL5	Factor1	0.009475256802132423	Human transcriptome
ACSS1	Factor1	0.012209376640716533	Human transcriptome
ACSS2	Factor1	0.02123403271980681	Human transcriptome
ACTA2	Factor1	0.007363800838118636	Human transcriptome
ACTB	Factor1	0.009899601587951985	Human transcriptome
ACTG1	Factor1	0.008501289083513915	Human transcriptome
ACTG2	Factor1	-0.0021061738117193543	Human transcriptome
ACTL6A	Factor1	0.020645046272060145	Human transcriptome
ACTN1	Factor1	0.12698359374864568	Human transcriptome
ACTN4	Factor1	0.08178131488608176	Human transcriptome
ACTR10	Factor1	0.02163026687116795	Human transcriptome
ACTR1A	Factor1	0.046371425885525556	Human transcriptome
ACTR1B	Factor1	0.025362626726853837	Human transcriptome
ACTR2	Factor1	0.1316508984086072	Human transcriptome
ACTR3	Factor1	0.11348827141656688	Human transcriptome
ACTR5	Factor1	0.0044849496604407995	Human transcriptome
ACTR6	Factor1	0.008605261908565894	Human transcriptome
ACTR8	Factor1	0.015434641223549449	Human transcriptome
ACVR1	Factor1	0.01586429336311974	Human transcriptome
ACVR1B	Factor1	0.026182759932778597	Human transcriptome
ACVR2A	Factor1	0.01264922200996671	Human transcriptome
ACVR2B	Factor1	0.006321033334998918	Human transcriptome
ACYP1	Factor1	0.003165265753039001	Human transcriptome
ADA	Factor1	0.006726523144642635	Human transcriptome
ADAM10	Factor1	0.05534886351107262	Human transcriptome
ADAM12	Factor1	3.6243721943351873e-4	Human transcriptome
ADAM15	Factor1	0.10114611921302913	Human transcriptome
ADAM17	Factor1	0.027317262189428967	Human transcriptome
ADAM19	Factor1	0.021680403360222776	Human transcriptome
ADAM23	Factor1	0.004418302541956135	Human transcriptome
ADAM28	Factor1	0.00761784604171553	Human transcriptome
ADAM9	Factor1	0.08718110430535539	Human transcriptome
ADAMTS1	Factor1	0.012640620979888119	Human transcriptome
ADAMTS14	Factor1	0.0015483914620951493	Human transcriptome
ADAMTS15	Factor1	0.0026537668261613586	Human transcriptome
ADAMTS2	Factor1	-3.419195954161341e-4	Human transcriptome
ADAMTS7	Factor1	0.0014722082221887045	Human transcriptome
ADAMTSL1	Factor1	-4.636821382705848e-4	Human transcriptome
ADAMTSL4	Factor1	0.009783055608694885	Human transcriptome
ADAMTSL5	Factor1	0.009921657333245138	Human transcriptome
ADAR	Factor1	0.12206497044659104	Human transcriptome
ADARB1	Factor1	0.008862226838280696	Human transcriptome
ADARB2	Factor1	6.47168591286599e-5	Human transcriptome
ADAT1	Factor1	0.008393831774844608	Human transcriptome
ADAT2	Factor1	0.008384204547729049	Human transcriptome
ADCK2	Factor1	0.011419273762716908	Human transcriptome
ADCK5	Factor1	0.004651400926801487	Human transcriptome
ADCY10P1	Factor1	0.0042991376931495896	Human transcriptome
ADCY3	Factor1	0.017453585118049224	Human transcriptome
ADCY6	Factor1	0.01781058513501445	Human transcriptome
ADCY7	Factor1	0.023484117960419618	Human transcriptome
ADCY9	Factor1	0.013212538168422645	Human transcriptome
ADD1	Factor1	0.07583328207209901	Human transcriptome
ADD3	Factor1	0.0663522435030029	Human transcriptome
ADGRA2	Factor1	-3.0924524052112617e-4	Human transcriptome
ADGRA3	Factor1	0.009292646967207765	Human transcriptome
ADGRE4P	Factor1	0.001929697528403837	Human transcriptome
ADGRF1	Factor1	0.015835714040863542	Human transcriptome
ADGRF4	Factor1	0.018628646076248676	Human transcriptome
ADGRG1	Factor1	0.049410666680167435	Human transcriptome
ADGRG6	Factor1	0.003673228145911166	Human transcriptome
ADGRL1	Factor1	0.009189516812338391	Human transcriptome
ADGRL2	Factor1	0.0044665946952883355	Human transcriptome
ADH1C	Factor1	1.4900412745079877e-4	Human transcriptome
ADH5	Factor1	0.044936077656360034	Human transcriptome
ADH7	Factor1	0.004476946378891822	Human transcriptome
ADI1	Factor1	0.033946823325948346	Human transcriptome
ADIPOR1	Factor1	0.018142858980956918	Human transcriptome
ADIPOR2	Factor1	0.03658398923124512	Human transcriptome
ADIRF-AS1	Factor1	0.003442922910211161	Human transcriptome
ADK	Factor1	0.022028755316501374	Human transcriptome
ADM	Factor1	0.001959969095925351	Human transcriptome
ADM2	Factor1	0.0010530297099980862	Human transcriptome
ADNP	Factor1	0.06133229544952668	Human transcriptome
ADNP2	Factor1	0.01796185301468064	Human transcriptome
ADO	Factor1	0.010819376549246794	Human transcriptome
ADORA2B	Factor1	0.00990668073952906	Human transcriptome
ADPGK	Factor1	0.029495367631204354	Human transcriptome
ADPRHL2	Factor1	0.013409974862915139	Human transcriptome
ADPRM	Factor1	0.0027675516640723943	Human transcriptome
ADRB2	Factor1	0.003949025684410454	Human transcriptome
ADRM1	Factor1	0.022637610844985005	Human transcriptome
ADSS	Factor1	0.03075082081829712	Human transcriptome
AEBP1	Factor1	0.00719662739196796	Human transcriptome
AEBP2	Factor1	0.023085975315292315	Human transcriptome
AEN	Factor1	0.012699134337200282	Human transcriptome
AES	Factor1	0.05281612426831866	Human transcriptome
AF131215.1	Factor1	-7.252563073509196e-5	Human transcriptome
AF131215.2	Factor1	3.095647897685656e-5	Human transcriptome
AF131215.4	Factor1	-1.0464701510632406e-4	Human transcriptome
AF178030.2	Factor1	-2.0598387039707703e-4	Human transcriptome
AFAP1	Factor1	0.007271477474308525	Human transcriptome
AFAP1L2	Factor1	0.020734741550822694	Human transcriptome
AFDN	Factor1	0.04729127549331178	Human transcriptome
AFF1	Factor1	0.041317917408126036	Human transcriptome
AFF3	Factor1	0.0023715818902934082	Human transcriptome
AFF4	Factor1	0.05753169117556212	Human transcriptome
AFG3L1P	Factor1	0.007560385657369807	Human transcriptome
AFG3L2	Factor1	0.030836422485844624	Human transcriptome
AFMID	Factor1	0.006675232847721016	Human transcriptome
AFTPH	Factor1	0.02421997703537856	Human transcriptome
AGA	Factor1	0.006316891510057818	Human transcriptome
AGAP1	Factor1	0.013681822499875042	Human transcriptome
AGAP3	Factor1	0.03931628559740801	Human transcriptome
AGBL5	Factor1	0.013004495911312837	Human transcriptome
AGFG1	Factor1	0.024683521336909153	Human transcriptome
AGFG2	Factor1	0.0032246472252733076	Human transcriptome
AGGF1	Factor1	5.797405590149284e-5	Human transcriptome
AGK	Factor1	0.006472249154277414	Human transcriptome
AGL	Factor1	0.011100584042639838	Human transcriptome
AGO1	Factor1	0.028491593986338385	Human transcriptome
AGO2	Factor1	0.06266250842220768	Human transcriptome
AGO3	Factor1	-1.7814820962337166e-4	Human transcriptome
AGO4	Factor1	0.006896317967059243	Human transcriptome
AGPAT1	Factor1	0.005798723556004341	Human transcriptome
AGPAT2	Factor1	0.0394316285415195	Human transcriptome
AGPAT3	Factor1	0.047437344979693936	Human transcriptome
AGPAT4	Factor1	0.0019985165517494123	Human transcriptome
AGPAT5	Factor1	0.02559652283159333	Human transcriptome
AGPS	Factor1	0.02571560878668625	Human transcriptome
AGR2	Factor1	0.0017656002696725148	Human transcriptome
AGRN	Factor1	0.0866442693285041	Human transcriptome
AGTPBP1	Factor1	0.007926211349080278	Human transcriptome
AGTRAP	Factor1	0.010277123812434546	Human transcriptome
AHCTF1	Factor1	0.029348348867220278	Human transcriptome
AHCY	Factor1	0.028300117601350216	Human transcriptome
AHCYL1	Factor1	0.07777092055184598	Human transcriptome
AHCYL2	Factor1	0.012790168176777172	Human transcriptome
AHDC1	Factor1	0.01783402592957646	Human transcriptome
AHI1	Factor1	0.011531922550400416	Human transcriptome
AHNAK	Factor1	0.008356106457808975	Human transcriptome
AHNAK2	Factor1	0.08028603303869336	Human transcriptome
AHR	Factor1	2.1237725769239824e-4	Human transcriptome
AHSA1	Factor1	0.038011244909347375	Human transcriptome
AHSA2	Factor1	0.014898621407652139	Human transcriptome
AIDA	Factor1	0.008320126121692584	Human transcriptome
AIF1	Factor1	-1.2510127921365607e-4	Human transcriptome
AIF1L	Factor1	-0.0071064955603054505	Human transcriptome
AIFM1	Factor1	0.01711126308514277	Human transcriptome
AIFM2	Factor1	0.006862734305250518	Human transcriptome
AIG1	Factor1	0.008348801553344139	Human transcriptome
AIM1	Factor1	0.07303180662755393	Human transcriptome
AIM1L	Factor1	0.05317589448680915	Human transcriptome
AIMP1	Factor1	0.014740213956266953	Human transcriptome
AIMP2	Factor1	0.007123129165472064	Human transcriptome
AIP	Factor1	0.00890936895560566	Human transcriptome
AJAP1	Factor1	1.0428298550850246e-4	Human transcriptome
AJUBA	Factor1	0.07085134418770121	Human transcriptome
AK2	Factor1	0.042172053824011825	Human transcriptome
AK3	Factor1	0.041941539429466	Human transcriptome
AK4	Factor1	0.015704366344685954	Human transcriptome
AK9	Factor1	0.004648237086755709	Human transcriptome
AKAP1	Factor1	0.031123895810159747	Human transcriptome
AKAP10	Factor1	0.01777718881554201	Human transcriptome
AKAP11	Factor1	0.02212911510119985	Human transcriptome
AKAP12	Factor1	0.008255445798776113	Human transcriptome
AKAP13	Factor1	0.11015171699586362	Human transcriptome
AKAP7	Factor1	0.0036943606572129185	Human transcriptome
AKAP8	Factor1	0.020432164253579004	Human transcriptome
AKAP8L	Factor1	0.012942225245458938	Human transcriptome
AKAP9	Factor1	0.044424467594628765	Human transcriptome
AKIP1	Factor1	0.007690021312582085	Human transcriptome
AKIRIN1	Factor1	0.031407134799433765	Human transcriptome
AKIRIN2	Factor1	0.009404751284598585	Human transcriptome
AKNA	Factor1	0.017781136362695682	Human transcriptome
AKR1A1	Factor1	0.05257411517276242	Human transcriptome
AKR1B1	Factor1	0.016242675697788374	Human transcriptome
AKR1B10	Factor1	0.010863063201158433	Human transcriptome
AKR1C1	Factor1	0.009820146363390148	Human transcriptome
AKR1C2	Factor1	0.004637801946058174	Human transcriptome
AKR1C3	Factor1	0.0030341106459779825	Human transcriptome
AKR7A2	Factor1	0.009691595966596037	Human transcriptome
AKT1	Factor1	0.04980298892525539	Human transcriptome
AKT1S1	Factor1	0.01788786149172013	Human transcriptome
AKT2	Factor1	0.04365659766546828	Human transcriptome
AKT3	Factor1	-2.1810886907263225e-4	Human transcriptome
AKTIP	Factor1	0.012515074004425444	Human transcriptome
ALAD	Factor1	0.03176935047772127	Human transcriptome
ALAS1	Factor1	0.02549380204122611	Human transcriptome
ALCAM	Factor1	0.011757990103004412	Human transcriptome
ALDH16A1	Factor1	0.009516590858169385	Human transcriptome
ALDH18A1	Factor1	0.042820310224097505	Human transcriptome
ALDH1A1	Factor1	0.00382834212996774	Human transcriptome
ALDH1A3	Factor1	0.01926319340349704	Human transcriptome
ALDH1B1	Factor1	0.011281371332102228	Human transcriptome
ALDH1L1	Factor1	3.166386565702674e-4	Human transcriptome
ALDH1L2	Factor1	-7.50849538318213e-4	Human transcriptome
ALDH2	Factor1	0.03383325422446183	Human transcriptome
ALDH3A1	Factor1	0.01766111240715455	Human transcriptome
ALDH3A2	Factor1	0.11011175310914875	Human transcriptome
ALDH3B1	Factor1	0.003831200496483534	Human transcriptome
ALDH3B2	Factor1	0.07158229131260244	Human transcriptome
ALDH4A1	Factor1	0.04162245388693662	Human transcriptome
ALDH5A1	Factor1	0.0031061257309178405	Human transcriptome
ALDH6A1	Factor1	0.012004550576670952	Human transcriptome
ALDH7A1	Factor1	0.046528650624235744	Human transcriptome
ALDH9A1	Factor1	0.07373311134106561	Human transcriptome
ALDOA	Factor1	0.008577899234787134	Human transcriptome
ALDOC	Factor1	0.002969029385113421	Human transcriptome
ALG1	Factor1	0.005145670536400232	Human transcriptome
ALG10B	Factor1	-1.5690642770773563e-4	Human transcriptome
ALG11	Factor1	0.004442833039178348	Human transcriptome
ALG12	Factor1	0.00459681240404626	Human transcriptome
ALG13	Factor1	1.0270304656196954e-4	Human transcriptome
ALG2	Factor1	0.017333235281448638	Human transcriptome
ALG3	Factor1	0.010349568159704402	Human transcriptome
ALG5	Factor1	0.007753301785955779	Human transcriptome
ALG6	Factor1	0.010071551298422318	Human transcriptome
ALG8	Factor1	0.012211223445104747	Human transcriptome
ALKBH2	Factor1	0.004500074475897029	Human transcriptome
ALKBH3	Factor1	0.005786647354109941	Human transcriptome
ALKBH5	Factor1	0.029821715810691037	Human transcriptome
ALKBH7	Factor1	0.00111845234986376	Human transcriptome
ALKBH8	Factor1	0.00805224912885599	Human transcriptome
ALMS1	Factor1	0.019088973169525646	Human transcriptome
ALOX12	Factor1	-0.0028275561312261976	Human transcriptome
ALOX12P2	Factor1	0.0012117764290718947	Human transcriptome
ALOX15	Factor1	-0.002782616090978024	Human transcriptome
ALOX15B	Factor1	0.009386731084787847	Human transcriptome
ALPK1	Factor1	0.015144004661504125	Human transcriptome
