feature	factor	value	view
Acidilobus saccharovorans	Factor1	1.2217765552677332e-5	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor1	-8.366886135291602e-4	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	-2.684447060908221e-6	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	1.3143982493355178e-5	Archaea metatranscriptome
Methanosarcina mazei	Factor1	-7.736776909041503e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor1	6.95711166633575e-6	Archaea metatranscriptome
Acidilobus saccharovorans	Factor2	-9.024174913441971e-7	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor2	-3.1011548597722815e-4	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor2	1.0792894116137451e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor2	7.087397153785669e-6	Archaea metatranscriptome
Methanosarcina mazei	Factor2	-6.796676139284871e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor2	-2.5529988428720293e-5	Archaea metatranscriptome
Acidilobus saccharovorans	Factor3	9.962000375862654e-8	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor3	-1.391975514824396e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor3	7.573750457418532e-8	Archaea metatranscriptome
Methanosarcina barkeri	Factor3	8.438658643357328e-7	Archaea metatranscriptome
Methanosarcina mazei	Factor3	-1.0674614138884987e-7	Archaea metatranscriptome
Thermococcus litoralis	Factor3	-9.805108833170853e-8	Archaea metatranscriptome
Acidilobus saccharovorans	Factor4	-4.471122752087178e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor4	0.0015128486519473353	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor4	-8.244380931533452e-7	Archaea metatranscriptome
Methanosarcina barkeri	Factor4	8.482113521440562e-7	Archaea metatranscriptome
Methanosarcina mazei	Factor4	6.724471721113954e-7	Archaea metatranscriptome
Thermococcus litoralis	Factor4	-1.4482975768174663e-6	Archaea metatranscriptome
Acidilobus saccharovorans	Factor5	-0.017154770188312737	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor5	-2.8140465567160673	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor5	-0.031782989297023	Archaea metatranscriptome
Methanosarcina barkeri	Factor5	-0.07828918835152658	Archaea metatranscriptome
Methanosarcina mazei	Factor5	-0.01753738238763439	Archaea metatranscriptome
Thermococcus litoralis	Factor5	-0.01279456781878536	Archaea metatranscriptome
[Clostridium] hiranonis	Factor1	-7.083344740502901e-10	Bacteria metatranscriptome
[Eubacterium] sulci	Factor1	-1.4408003001244951e-8	Bacteria metatranscriptome
[Haemophilus] ducreyi	Factor1	-2.7557749139204188e-8	Bacteria metatranscriptome
[Ruminococcus] gnavus	Factor1	-4.519687837542658e-10	Bacteria metatranscriptome
Acetoanaerobium sticklandii	Factor1	-1.3348862407890965e-9	Bacteria metatranscriptome
Acetobacter persici	Factor1	1.1826553228922219e-9	Bacteria metatranscriptome
Acetobacteraceae bacterium	Factor1	-6.292001286989629e-10	Bacteria metatranscriptome
Achromobacter sp. AONIH1	Factor1	1.5406807507329456e-9	Bacteria metatranscriptome
Achromobacter xylosoxidans	Factor1	1.2961905314757346e-9	Bacteria metatranscriptome
Acidovorax carolinensis	Factor1	8.111699066525301e-10	Bacteria metatranscriptome
