group	factor	Archaea metatranscriptome	Bacteria metatranscriptome	Eukaryota metatranscriptome	Human transcriptome	Viruses metatranscriptome
Blood_GERD	Factor1	-Inf	0.01604888580265529	0.061238883434799884	0.08574803703160772	-15.414682946591363
Blood_GERD	Factor2	-Inf	-0.06462130280946443	0.026454151802379755	0.2655988462462733	-4.068023308732593
Blood_GERD	Factor3	-Inf	0.006325774195736766	1.7501235050521258	0.8804433037930326	-0.3076348019607211
Blood_GERD	Factor4	-Inf	-0.15430101881794833	-0.6573748214217856	0.05967817077179305	-9.7931946034306
Blood_GERD	Factor5	-Inf	2.395023217573067	-0.0015496589087060642	-3.710336926587843e-7	-0.07305804232766722
Esophagus_EoE	Factor1	1.384757267186565e-4	1.0250945903234054e-5	-0.0031902578309095375	0.05648975190851724	7.775078035510141e-4
Esophagus_EoE	Factor2	0.001335285755199589	5.688185478192054e-7	-3.373937911499425e-4	0.03145255345454734	1.5131781128108202e-4
Esophagus_EoE	Factor3	2.429362500055987e-6	1.2013090633367085e-6	0.015268066942608627	0.5048804437301491	1.4642062926562005e-4
Esophagus_EoE	Factor4	0.01348585023340787	6.391572707764581e-5	0.09332454619694897	0.07837333338756025	0.0024001676166784947
Esophagus_EoE	Factor5	92.84555443595032	35.468774867767905	19.40737625433456	0.023557542632468564	10.557292648659644
