sample	cluster	condition	control
GSM4735788	3	Blood_GERD_cluster_3	TRUE
GSM4735790	3	Blood_GERD_cluster_3	TRUE
GSM4735789	3	Blood_GERD_cluster_3	TRUE
GSM4735791	3	Blood_GERD_cluster_3	TRUE
GSM1022678	1	Esophagus_EoE_cluster_1	FALSE
GSM1022679	4	Esophagus_EoE_cluster_4	FALSE
GSM1022680	1	Esophagus_EoE_cluster_1	FALSE
GSM1022681	1	Esophagus_EoE_cluster_1	FALSE
GSM1022682	4	Esophagus_EoE_cluster_4	FALSE
GSM1022683	1	Esophagus_EoE_cluster_1	FALSE
GSM1415912	3	Esophagus_EoE_cluster_3	FALSE
GSM1415913	3	Esophagus_EoE_cluster_3	FALSE
GSM1415914	3	Esophagus_EoE_cluster_3	FALSE
GSM1415915	3	Esophagus_EoE_cluster_3	FALSE
GSM1415916	3	Esophagus_EoE_cluster_3	FALSE
GSM1415917	3	Esophagus_EoE_cluster_3	FALSE
GSM1415918	3	Esophagus_EoE_cluster_3	FALSE
GSM1415919	3	Esophagus_EoE_cluster_3	FALSE
GSM1415920	3	Esophagus_EoE_cluster_3	FALSE
GSM1415921	3	Esophagus_EoE_cluster_3	FALSE
GSM3103946	5	Esophagus_EoE_cluster_5	FALSE
GSM3103947	5	Esophagus_EoE_cluster_5	FALSE
GSM3103948	2	Esophagus_EoE_cluster_2	FALSE
GSM3103949	2	Esophagus_EoE_cluster_2	FALSE
GSM3103950	2	Esophagus_EoE_cluster_2	FALSE
GSM3103951	2	Esophagus_EoE_cluster_2	FALSE
GSM3103952	5	Esophagus_EoE_cluster_5	FALSE
GSM3103953	5	Esophagus_EoE_cluster_5	FALSE
GSM3103954	5	Esophagus_EoE_cluster_5	FALSE
GSM3103955	2	Esophagus_EoE_cluster_2	FALSE
GSM4735803	1	Esophagus_EoE_cluster_1	FALSE
GSM4735804	1	Esophagus_EoE_cluster_1	FALSE
GSM4735795	1	Esophagus_EoE_cluster_1	FALSE
GSM4735797	3	Esophagus_EoE_cluster_3	FALSE
GSM4735802	1	Esophagus_EoE_cluster_1	FALSE
