feature	factor	value	view
Acidianus sulfidivorans	Factor1	-0.05442169772525703	Archaea metatranscriptome
Acidilobus saccharovorans	Factor1	-0.044917820998212295	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor1	-0.0015092741252584563	Archaea metatranscriptome
Metallosphaera hakonensis	Factor1	-0.037089371913220585	Archaea metatranscriptome
Methanococcus maripaludis	Factor1	-0.036910853264390156	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor1	-0.049729220715225494	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	-0.05611472719678628	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	-0.03841845210831495	Archaea metatranscriptome
Methanosarcina lacustris	Factor1	-0.02346075827380905	Archaea metatranscriptome
Methanosarcina mazei	Factor1	-0.03743994706675312	Archaea metatranscriptome
Thermococcus litoralis	Factor1	-0.04344855394282797	Archaea metatranscriptome
Thermococcus thioreducens	Factor1	-0.05420378538586415	Archaea metatranscriptome
Acidianus sulfidivorans	Factor2	-0.0015977774498953249	Archaea metatranscriptome
Acidilobus saccharovorans	Factor2	-0.0010252142294938354	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor2	-3.670896906364641e-5	Archaea metatranscriptome
Metallosphaera hakonensis	Factor2	-6.237804228115644e-4	Archaea metatranscriptome
Methanococcus maripaludis	Factor2	-1.940388438184271e-4	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor2	-5.141702247645417e-4	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor2	-0.0014938839852699183	Archaea metatranscriptome
Methanosarcina barkeri	Factor2	-6.407548053552822e-4	Archaea metatranscriptome
Methanosarcina lacustris	Factor2	-7.796166044772677e-4	Archaea metatranscriptome
Methanosarcina mazei	Factor2	-0.0010050429082547416	Archaea metatranscriptome
Thermococcus litoralis	Factor2	-0.001082155654750821	Archaea metatranscriptome
Thermococcus thioreducens	Factor2	-0.0013310710326715526	Archaea metatranscriptome
Acidianus sulfidivorans	Factor3	8.741856873453822e-6	Archaea metatranscriptome
Acidilobus saccharovorans	Factor3	8.46798076523463e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor3	0.3667079337373083	Archaea metatranscriptome
Metallosphaera hakonensis	Factor3	2.4544529635042456e-6	Archaea metatranscriptome
Methanococcus maripaludis	Factor3	1.994343723106607e-6	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor3	3.4689288532094025e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor3	2.2859202726452212e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor3	1.6885895190378396e-4	Archaea metatranscriptome
Methanosarcina lacustris	Factor3	1.3378330306332618e-6	Archaea metatranscriptome
Methanosarcina mazei	Factor3	2.6677828023798907e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor3	6.900106599954351e-6	Archaea metatranscriptome
Thermococcus thioreducens	Factor3	7.996824630272534e-6	Archaea metatranscriptome
Acidianus sulfidivorans	Factor4	-1.0365050660068249e-5	Archaea metatranscriptome
Acidilobus saccharovorans	Factor4	-8.131733923500037e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor4	-0.04768787576462909	Archaea metatranscriptome
Metallosphaera hakonensis	Factor4	-3.6819965494551137e-7	Archaea metatranscriptome
Methanococcus maripaludis	Factor4	-6.553085806538597e-7	Archaea metatranscriptome
Methanofervidicoccus sp. A16	Factor4	-1.4294471377767136e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor4	-2.550245748062748e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor4	-6.762021359289402e-4	Archaea metatranscriptome
