sample	cluster	condition	control
GSM4735787	5	Blood_EoE_cluster_5	FALSE
GSM4735793	3	Blood_EoE_cluster_3	FALSE
GSM4735785	3	Blood_EoE_cluster_3	FALSE
GSM4735792	3	Blood_EoE_cluster_3	FALSE
GSM4735794	5	Blood_EoE_cluster_5	FALSE
GSM1022690	3	Esophagus_Control_cluster_3	TRUE
GSM1022691	3	Esophagus_Control_cluster_3	TRUE
GSM1022692	5	Esophagus_Control_cluster_5	TRUE
GSM1022693	4	Esophagus_Control_cluster_4	TRUE
GSM1022694	3	Esophagus_Control_cluster_3	TRUE
GSM1022695	5	Esophagus_Control_cluster_5	TRUE
GSM1415906	4	Esophagus_Control_cluster_4	TRUE
GSM1415907	4	Esophagus_Control_cluster_4	TRUE
GSM1415908	2	Esophagus_Control_cluster_2	TRUE
GSM1415909	2	Esophagus_Control_cluster_2	TRUE
GSM1415910	2	Esophagus_Control_cluster_2	TRUE
GSM1415911	2	Esophagus_Control_cluster_2	TRUE
GSM3103956	1	Esophagus_Control_cluster_1	TRUE
GSM3103957	1	Esophagus_Control_cluster_1	TRUE
GSM3103958	1	Esophagus_Control_cluster_1	TRUE
GSM3103959	3	Esophagus_Control_cluster_3	TRUE
GSM3103960	3	Esophagus_Control_cluster_3	TRUE
GSM3103961	3	Esophagus_Control_cluster_3	TRUE
GSM3103962	1	Esophagus_Control_cluster_1	TRUE
GSM3103963	1	Esophagus_Control_cluster_1	TRUE
GSM3103964	1	Esophagus_Control_cluster_1	TRUE
GSM3103965	3	Esophagus_Control_cluster_3	TRUE
GSM4735796	1	Esophagus_Control_cluster_1	TRUE
