sample	cluster	condition	control
GSM1022690	1	Esophagus_Control_cluster_1	TRUE
GSM1022691	3	Esophagus_Control_cluster_3	TRUE
GSM1022692	1	Esophagus_Control_cluster_1	TRUE
GSM1022693	2	Esophagus_Control_cluster_2	TRUE
GSM1022694	3	Esophagus_Control_cluster_3	TRUE
GSM1022695	1	Esophagus_Control_cluster_1	TRUE
GSM1415906	2	Esophagus_Control_cluster_2	TRUE
GSM1415907	2	Esophagus_Control_cluster_2	TRUE
GSM1415908	4	Esophagus_Control_cluster_4	TRUE
GSM1415909	4	Esophagus_Control_cluster_4	TRUE
GSM1415910	4	Esophagus_Control_cluster_4	TRUE
GSM1415911	4	Esophagus_Control_cluster_4	TRUE
GSM3103956	3	Esophagus_Control_cluster_3	TRUE
GSM3103957	5	Esophagus_Control_cluster_5	TRUE
GSM3103958	5	Esophagus_Control_cluster_5	TRUE
GSM3103959	3	Esophagus_Control_cluster_3	TRUE
GSM3103960	1	Esophagus_Control_cluster_1	TRUE
GSM3103961	1	Esophagus_Control_cluster_1	TRUE
GSM3103962	3	Esophagus_Control_cluster_3	TRUE
GSM3103963	5	Esophagus_Control_cluster_5	TRUE
GSM3103964	3	Esophagus_Control_cluster_3	TRUE
GSM3103965	3	Esophagus_Control_cluster_3	TRUE
GSM4735796	5	Esophagus_Control_cluster_5	TRUE
GSM4260265	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260266	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260267	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260268	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260269	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260270	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260271	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260272	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260273	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260274	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260275	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260276	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
