sample	cluster	condition	control
GSM5282507	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282509	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282510	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282511	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282512	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282515	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282516	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282519	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282521	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282523	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282524	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282526	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282528	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282529	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282513	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282533	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282534	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282536	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282525	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282530	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282514	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282520	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282535	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282522	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282531	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282508	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282518	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282517	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282527	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282532	3	Blood_CD4_EoE_cluster_3	FALSE
GSM1022684	3	Esophagus_GERD_cluster_3	FALSE
GSM1022685	3	Esophagus_GERD_cluster_3	FALSE
GSM1022686	1	Esophagus_GERD_cluster_1	FALSE
GSM1022687	4	Esophagus_GERD_cluster_4	FALSE
GSM1022688	3	Esophagus_GERD_cluster_3	FALSE
GSM1022689	1	Esophagus_GERD_cluster_1	FALSE
GSM4735798	3	Esophagus_GERD_cluster_3	TRUE
GSM4735800	3	Esophagus_GERD_cluster_3	TRUE
GSM4735799	3	Esophagus_GERD_cluster_3	TRUE
GSM4735801	3	Esophagus_GERD_cluster_3	TRUE
