sample	cluster	condition	control
GSM5282507	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282509	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282510	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282511	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282512	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282515	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282516	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282519	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282521	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282523	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282524	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282526	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282528	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282529	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282513	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282533	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282534	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282536	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282525	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282530	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282514	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282520	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282535	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282522	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282531	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282508	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282518	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282517	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282527	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282532	5	Blood_CD4_EoE_cluster_5	FALSE
GSM2769396	1	Esophagus_ESCs_Control_cluster_1	TRUE
GSM2769397	3	Esophagus_ESCs_Control_cluster_3	TRUE
GSM2769398	3	Esophagus_ESCs_Control_cluster_3	TRUE
