sample	cluster	condition	control
GSM4260265	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260266	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260267	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260268	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260269	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260270	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260271	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260272	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260273	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260274	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260275	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260276	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM1022684	2	Esophagus_GERD_cluster_2	FALSE
GSM1022685	2	Esophagus_GERD_cluster_2	FALSE
GSM1022686	2	Esophagus_GERD_cluster_2	FALSE
GSM1022687	1	Esophagus_GERD_cluster_1	FALSE
GSM1022688	2	Esophagus_GERD_cluster_2	FALSE
GSM1022689	3	Esophagus_GERD_cluster_3	FALSE
GSM4735798	2	Esophagus_GERD_cluster_2	TRUE
GSM4735800	4	Esophagus_GERD_cluster_4	TRUE
GSM4735799	3	Esophagus_GERD_cluster_3	TRUE
GSM4735801	4	Esophagus_GERD_cluster_4	TRUE
