sample	cluster	condition	control
GSM1385778	1	Esophagus_ECs_Control_cluster_1	TRUE
GSM1385779	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM1385780	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM1385781	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM1385782	1	Esophagus_ECs_Control_cluster_1	TRUE
GSM1385783	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM2769390	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM2769391	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM2769392	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM2769393	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM2769394	1	Esophagus_ECs_Control_cluster_1	TRUE
GSM2769395	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM1022678	5	Esophagus_EoE_cluster_5	FALSE
GSM1022679	3	Esophagus_EoE_cluster_3	FALSE
GSM1022680	1	Esophagus_EoE_cluster_1	FALSE
GSM1022681	5	Esophagus_EoE_cluster_5	FALSE
GSM1022682	4	Esophagus_EoE_cluster_4	FALSE
GSM1022683	1	Esophagus_EoE_cluster_1	FALSE
GSM1415912	4	Esophagus_EoE_cluster_4	FALSE
GSM1415913	4	Esophagus_EoE_cluster_4	FALSE
GSM1415914	2	Esophagus_EoE_cluster_2	FALSE
GSM1415915	4	Esophagus_EoE_cluster_4	FALSE
GSM1415916	2	Esophagus_EoE_cluster_2	FALSE
GSM1415917	4	Esophagus_EoE_cluster_4	FALSE
GSM1415918	4	Esophagus_EoE_cluster_4	FALSE
GSM1415919	4	Esophagus_EoE_cluster_4	FALSE
GSM1415920	4	Esophagus_EoE_cluster_4	FALSE
GSM1415921	4	Esophagus_EoE_cluster_4	FALSE
GSM3103946	2	Esophagus_EoE_cluster_2	FALSE
GSM3103947	2	Esophagus_EoE_cluster_2	FALSE
GSM3103948	5	Esophagus_EoE_cluster_5	FALSE
GSM3103949	1	Esophagus_EoE_cluster_1	FALSE
GSM3103950	2	Esophagus_EoE_cluster_2	FALSE
GSM3103951	5	Esophagus_EoE_cluster_5	FALSE
GSM3103952	2	Esophagus_EoE_cluster_2	FALSE
GSM3103953	2	Esophagus_EoE_cluster_2	FALSE
GSM3103954	2	Esophagus_EoE_cluster_2	FALSE
GSM3103955	2	Esophagus_EoE_cluster_2	FALSE
GSM4735803	1	Esophagus_EoE_cluster_1	FALSE
GSM4735804	5	Esophagus_EoE_cluster_5	FALSE
GSM4735795	5	Esophagus_EoE_cluster_5	FALSE
GSM4735797	4	Esophagus_EoE_cluster_4	FALSE
GSM4735802	1	Esophagus_EoE_cluster_1	FALSE
