feature	factor	value	view
Candidatus Nitrosopelagicus brevis	Factor1	2.276320940234675e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	-1.4824723611874465e-6	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	-2.2409282381360023e-6	Archaea metatranscriptome
Methanosarcina mazei	Factor1	-1.59715041471893e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor2	5.6529097101122e-7	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor2	6.531010739204224e-8	Archaea metatranscriptome
Methanosarcina barkeri	Factor2	1.1271913723953806e-7	Archaea metatranscriptome
Methanosarcina mazei	Factor2	-1.4658642603053908e-7	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor3	-2.8709892616124443e-5	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor3	-1.0891172463226325e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor3	-5.876727296019919e-6	Archaea metatranscriptome
Methanosarcina mazei	Factor3	3.4942170572280525e-6	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor4	-9.413419087429152e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor4	1.1738712284237445e-5	Archaea metatranscriptome
Methanosarcina barkeri	Factor4	5.152522946147788e-5	Archaea metatranscriptome
Methanosarcina mazei	Factor4	2.538861130926621e-6	Archaea metatranscriptome
[Eubacterium] sulci	Factor1	-2.2099849779870156e-9	Bacteria metatranscriptome
[Haemophilus] ducreyi	Factor1	1.6556003096635688e-9	Bacteria metatranscriptome
Achromobacter sp. AONIH1	Factor1	-2.132266794961928e-10	Bacteria metatranscriptome
Achromobacter xylosoxidans	Factor1	-8.510910214237046e-10	Bacteria metatranscriptome
Acidovorax carolinensis	Factor1	-2.5882516832299333e-11	Bacteria metatranscriptome
Acidovorax citrulli	Factor1	-1.4309399189179014e-9	Bacteria metatranscriptome
Acidovorax sp. 1608163	Factor1	-1.9669523197204036e-10	Bacteria metatranscriptome
Acinetobacter baumannii	Factor1	-9.61665216233877e-8	Bacteria metatranscriptome
Acinetobacter calcoaceticus	Factor1	-1.7327647621755386e-9	Bacteria metatranscriptome
Acinetobacter indicus	Factor1	-4.1618907957284255e-9	Bacteria metatranscriptome
Acinetobacter johnsonii	Factor1	1.7098092632104983e-10	Bacteria metatranscriptome
Acinetobacter lwoffii	Factor1	4.714906681320821e-10	Bacteria metatranscriptome
Acinetobacter radioresistens	Factor1	1.8914367328883157e-10	Bacteria metatranscriptome
Acinetobacter sp. 185	Factor1	-3.7801032674818204e-10	Bacteria metatranscriptome
Acinetobacter wuhouensis	Factor1	-1.978130800596047e-9	Bacteria metatranscriptome
Actinobacillus delphinicola	Factor1	5.9103604883597916e-09	Bacteria metatranscriptome
Actinobacillus indolicus	Factor1	-1.4058910205593216e-8	Bacteria metatranscriptome
Actinobacillus pleuropneumoniae	Factor1	5.90024126030939e-9	Bacteria metatranscriptome
Actinobacillus porcitonsillarum	Factor1	1.8912005460327314e-9	Bacteria metatranscriptome
Actinobacillus succinogenes	Factor1	1.360751175402278e-9	Bacteria metatranscriptome
Actinomyces pacaensis	Factor1	-3.2541101895511373e-9	Bacteria metatranscriptome
Actinomyces radicidentis	Factor1	-8.209836540615381e-10	Bacteria metatranscriptome
Aequorivita sp. H23M31	Factor1	-5.592649105232061e-10	Bacteria metatranscriptome
Aeromonas veronii	Factor1	-3.5570358290352565e-9	Bacteria metatranscriptome
Aggregatibacter actinomycetemcomitans	Factor1	1.6356978189143789e-9	Bacteria metatranscriptome
Aggregatibacter aphrophilus	Factor1	6.0220075214050875e-9	Bacteria metatranscriptome
Agrobacterium vitis	Factor1	-1.1561997403292828e-8	Bacteria metatranscriptome
Alcanivorax sp. N3-2A	Factor1	-4.229664496410739e-9	Bacteria metatranscriptome
Algibacter alginicilyticus	Factor1	-1.475908266740726e-9	Bacteria metatranscriptome
Alicycliphilus denitrificans	Factor1	3.2903381830698727e-10	Bacteria metatranscriptome
Aliivibrio fischeri	Factor1	-4.4792581857233313e-8	Bacteria metatranscriptome
Alloprevotella sp. E39	Factor1	7.174267354403304e-10	Bacteria metatranscriptome
Alteromonas sp. RKMC-009	Factor1	-4.892507558247045e-9	Bacteria metatranscriptome
Anaerococcus prevotii	Factor1	-1.6805986669415783e-9	Bacteria metatranscriptome
Anaerocolumna sp. CBA3638	Factor1	-5.656362062062724e-10	Bacteria metatranscriptome
Anaerostipes hadrus	Factor1	-4.906399657849461e-9	Bacteria metatranscriptome
Ancylobacter pratisalsi	Factor1	-1.0838148722984868e-9	Bacteria metatranscriptome
Antarcticibacterium flavum	Factor1	2.1087676062857167e-10	Bacteria metatranscriptome
Aquabacterium olei	Factor1	6.024093603326752e-10	Bacteria metatranscriptome
Aquicella lusitana	Factor1	-9.806783926354347e-10	Bacteria metatranscriptome
Aquimarina sp. AD10	Factor1	-3.870352489090305e-10	Bacteria metatranscriptome
Arcobacter butzleri	Factor1	-2.587792368534834e-8	Bacteria metatranscriptome
Aromatoleum aromaticum	Factor1	-1.6308197407117972e-9	Bacteria metatranscriptome
Asticcacaulis excentricus	Factor1	1.6628121135286887e-9	Bacteria metatranscriptome
Atopobium parvulum	Factor1	-1.9878249764997225e-8	Bacteria metatranscriptome
Avibacterium paragallinarum	Factor1	2.2411739122589056e-9	Bacteria metatranscriptome
Azoarcus communis	Factor1	-3.7037096835438395e-10	Bacteria metatranscriptome
Bacillus altitudinis	Factor1	-6.090738440686182e-10	Bacteria metatranscriptome
Bacillus amyloliquefaciens	Factor1	-3.1384159372883407e-10	Bacteria metatranscriptome
Bacillus atrophaeus	Factor1	9.512819624008261e-8	Bacteria metatranscriptome
Bacillus cereus	Factor1	2.0071563834689482e-7	Bacteria metatranscriptome
Bacillus ciccensis	Factor1	-5.839540532148588e-10	Bacteria metatranscriptome
Bacillus coagulans	Factor1	7.653550544141174e-11	Bacteria metatranscriptome
Bacillus megaterium	Factor1	5.200161640943434e-7	Bacteria metatranscriptome
Bacillus mycoides	Factor1	2.443543535671061e-10	Bacteria metatranscriptome
Bacillus subtilis	Factor1	4.71539294605142e-10	Bacteria metatranscriptome
Bacillus thuringiensis	Factor1	-2.5808631959495634e-8	Bacteria metatranscriptome
Bacteroides caccae	Factor1	-9.380985915269051e-10	Bacteria metatranscriptome
Bacteroides dorei	Factor1	-1.024742014214459e-8	Bacteria metatranscriptome
Bacteroides fragilis	Factor1	-1.6985383093913348e-9	Bacteria metatranscriptome
Bacteroides salanitronis	Factor1	-1.284381103525328e-8	Bacteria metatranscriptome
Bacteroides sp. CBA7301	Factor1	-7.431419410883204e-9	Bacteria metatranscriptome
