sample	group	view	value	combi	ntotal	ptotal
GSM4735786	Control	Archaea_Blood	TRUE	Archaea_Blood	N=198	D=15
GSM3056401	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056402	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056403	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056404	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056405	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056406	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056407	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056408	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056409	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056410	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056415	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056416	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056417	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056418	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056419	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056420	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056421	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056422	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056437	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056438	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056446	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056447	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056448	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056449	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056450	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056451	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056452	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056453	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056454	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056455	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056456	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056457	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056465	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056466	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056467	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056468	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056469	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056470	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056471	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056472	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056473	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056478	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056479	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056480	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056481	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056482	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056483	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056484	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056485	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056486	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056487	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056488	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056489	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056494	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056495	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056496	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056497	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056498	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056499	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056500	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056501	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056502	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056503	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056510	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056511	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056512	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056513	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056514	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056515	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056516	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056517	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056518	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056526	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056527	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056528	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056529	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056530	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056531	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056532	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056533	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056534	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056535	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056536	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056544	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056545	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056546	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056547	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056548	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056549	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056550	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056551	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056557	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056558	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056559	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056560	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056561	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056562	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056563	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056564	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056565	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056566	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056569	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056570	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056571	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056572	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056573	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056574	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056575	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056576	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056577	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056578	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056579	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056580	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056581	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056582	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056583	Control	Archaea_Blood	FALSE	missing	N=198	D=15
GSM3056584	Control	Archaea_Blood	FALSE	missing	N=198	D=15
