sample	cluster	condition	control
GSM5282507	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282509	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282510	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282511	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282512	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282515	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282516	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282519	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282521	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282523	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282524	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282526	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282528	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282529	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282513	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282533	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282534	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282536	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282525	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282530	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282514	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282520	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282535	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282522	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282531	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282508	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282518	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282517	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282527	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282532	2	Blood_CD4_EoE_cluster_2	FALSE
GSM4260265	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260266	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260267	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260268	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260269	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260270	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260271	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260272	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260273	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260274	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260275	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260276	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
