DGE	Genes	Process~name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
down	IGKV1D-8; IGLV3-21; IGLV7-46; IGLV5-45; IGLV3-19; IGLV9-49; IGLV2-14; IGKV2D-29; IGLV4-69; IGLV2-23; IGKV1-8; IGKV4-1; IGLV6-57; IGLV2-11; IGKV1-27; IGLV1-40; IGLV3-1; IGLV1-44; IGLV3-25; IGLV8-61; IGLV2-18; IGLV7-43; IGLV3-9; IGLV1-47;	GO:0002377~immunoglobulin production	24	107	22.4299065420561	0	0	0	0	0	0	0
down	KLK10; KLK8; LTF; ELANE; MMP3; CTSG; AZU1; GZMH; ENDOU; MMP8; PRSS3; GGT5; KLK7; ADAM15; PRSS8; PRSS36; GGT6; TMPRSS11F; ASRGL1; PRSS33; ADAMTS14; GGH; SCRN2; CAPNS2; PRSS27; TMPRSS13; PRSS22; CHMP1A; TMPRSS4; KLK11; KLK12; TMPRSS11E; KLK5; CAPN14; THOP1; CPA4;	GO:0006508~proteolysis	36	436	8.25688073394496	0	0	0	0	0	0	0
down	IGHV4-39; IGHV3-74; IGLL5; IGHG2; IGHV3-30; IGHV1-2; IGHV4-4; TRDC; IGHV1-46; IGHA2; IGHA1; IGHV1-3; IGHG4; IGHV3-15; IGHV3-49; IGHV1-69-2; IGHV3-20; IGHV3-21; IGLC3; IGHE; IGHV2-70; IGHV3-53; IGHG3; IGHV3-7; IGHV2-5; IGHD; IGHV2-26; IGHV5-51; IGHV3-73; IGKC; IGHV6-1; IGHV3-48; IGHV1-24; IGHV4-59; IGHV4-34; IGHV3-33;	GO:0006910~phagocytosis, recognition	36	99	36.3636363636364	0	0	0	0	0	0	0
down	NCR3; LY86; ORM1; ANXA1; KRT16; FOLR2; ALOX15; AZU1; BDKRB2; ADORA1; FCGR2B; CARD18; ELF3; FUT7; IL18; ECM1; AOC3; NLRP10; PLD4; MGLL; TOLLIP; PROK2; PF4; PTGDR; IL36A; ACKR1; PF4V1; CCL26; IL36G; IL36RN; XCL1; IL1RN; GGT5;	GO:0006954~inflammatory response	33	381	8.66141732283465	0	0	0	0	0	0	0
down	NCR3; CXCL14; IGLV1-44; IGLV1-47; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV3-19; IGLV3-1; IGLV3-25; IGLV6-57; CD8A; IGHV1-46; IGHV3-48; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-70; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; IGHE; IGHA1; IGHA2; IGHD; SLPI; IGLV7-43; CD1A; IGKV4-1; IGHV4-34; CTSG; CD8B; GZMA; IL1RN; ENDOU; IGHV1-2; HRH2; FCGR2B; CD79B; CTSW; DEFB1; IGLV3-21; GBP6; IL36A; IGKV1D-8; IGLV8-61; IGLV5-45; CXCR1; IGLV9-49; IGKV2D-29; IGKV1-27; IGLV7-46; CD1C; PF4V1; IGLV4-69; IGLV3-9; IGLV2-18; RAET1L; PF4; IGKV1-8; RAET1E;	GO:0006955~immune response	64	433	14.7806004618938	0	0	0	0	0	0	0
down	FCN1; IGLV1-44; IGLV1-47; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV3-19; IGLV3-1; IGLV3-25; IGLV6-57; IGHV1-46; IGHV3-48; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-70; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; IGHG2; IGHG3; IGHG4; C1QA; IGLV7-43; IGKV4-1; IGHV4-34; IGLC3; IGHV1-2; IGLV3-21;	GO:0006956~complement activation	32	92	34.7826086956522	0	0	0	0	0	0	0
down	IGLV1-44; IGLV1-47; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV3-19; IGLV3-1; IGLV3-25; IGLV6-57; IGHV1-46; IGHV3-48; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-70; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; IGHG2; IGHG3; IGHG4; C1QA; IGLV7-43; IGKV4-1; IGHV4-34; IGLC3; IGHV1-2; IGLV3-21; TRDC; IGHV4-4; IGHV3-21; IGHV5-51; IGHV3-20; IGHD; IGHV1-24; IGHV1-69-2; IGHV3-49; IGLL5; IGHV2-26; IGHV3-15; IGHV6-1; IGHV3-74; IGHE; IGHV1-3; IGHA2; IGHA1; IGHV3-73;	GO:0006958~complement activation, classical pathway	50	161	31.055900621118	0	0	0	0	0	0	0
down	IGLV1-44; IGLV1-47; IGLV1-40; IGLV2-14; IGLV2-23; IGLV2-11; IGLV3-19; IGLV3-1; IGLV3-25; IGLV6-57; IGHV1-46; IGHV3-48; IGHV3-53; IGHV3-30; IGHV3-33; IGHV3-7; IGHV2-70; IGHV2-5; IGHV4-39; IGHV4-59; IGKC; IGHG2; IGHG3; IGHG4; C1QA; IGLV7-43; IGKV4-1; IGHV4-34; IGLC3; CD19; IGHV1-2; IGLV3-21; CR1L;	GO:0030449~regulation of complement activation	33	113	29.2035398230088	0	0	0	0	0	0	0
down	KRT86; KRT14; KRT6A; KRT6B; KRT1; KRT18; KRT7; KRT16; KRT10; KRT13; KRT5; JUP; DSP; KRT15; KRT4; SFN; DSG3; KRT9; KRT2; KRT6C; DSG1; DSC2; KRT17; PKP1; DSC3; KRT80; HRNR; KRT78; CNFN; KRT23; PKP3;	GO:0031424~keratinization	31	181	17.1270718232044	0	0	0	0	0	0	0
down	ELANE; ANXA3; DEFB1; ROMO1; LCN2; CEBPE; GBP6; WFDC12; S100A14; SLAMF8; IGHV3-48; IGHV6-1; GSDMA; IGHG2; IGLC3; IGHG3; IGHV1-46; IGHV3-53; IGHV1-24; IGHV3-73; IGHV1-2; IGHA1; IGHV3-30; IGHA2; IGLL5; IGHV2-5; IGHD; IGHV3-49; IGHV3-74; IGHV2-70; IGHV3-7; GSDMC; IGHE; IGHV4-34; IGHV3-15; IGHV5-51; IGHV1-69-2; TRDC; IGHV3-20; IGKC; IGHV4-39; IGHV2-26; IGHV4-4; IGHV3-21; IGHV4-59; IGHV1-3; IGHV3-33; IGHG4;	GO:0042742~defense response to bacterium	48	216	22.2222222222222	0	0	0	0	0	0	0
