sample	cluster	condition	control
GSM1022690	3	Esophagus_Control_cluster_3	TRUE
GSM1022691	3	Esophagus_Control_cluster_3	TRUE
GSM1022692	2	Esophagus_Control_cluster_2	TRUE
GSM1022693	5	Esophagus_Control_cluster_5	TRUE
GSM1022694	1	Esophagus_Control_cluster_1	TRUE
GSM1022695	2	Esophagus_Control_cluster_2	TRUE
GSM1415906	5	Esophagus_Control_cluster_5	TRUE
GSM1415907	5	Esophagus_Control_cluster_5	TRUE
GSM1415908	5	Esophagus_Control_cluster_5	TRUE
GSM1415909	5	Esophagus_Control_cluster_5	TRUE
GSM1415910	5	Esophagus_Control_cluster_5	TRUE
GSM1415911	5	Esophagus_Control_cluster_5	TRUE
GSM3103956	4	Esophagus_Control_cluster_4	TRUE
GSM3103957	4	Esophagus_Control_cluster_4	TRUE
GSM3103958	4	Esophagus_Control_cluster_4	TRUE
GSM3103959	3	Esophagus_Control_cluster_3	TRUE
GSM3103960	3	Esophagus_Control_cluster_3	TRUE
GSM3103961	3	Esophagus_Control_cluster_3	TRUE
GSM3103962	1	Esophagus_Control_cluster_1	TRUE
GSM3103963	4	Esophagus_Control_cluster_4	TRUE
GSM3103964	4	Esophagus_Control_cluster_4	TRUE
GSM3103965	3	Esophagus_Control_cluster_3	TRUE
GSM4735796	4	Esophagus_Control_cluster_4	TRUE
GSM1385778	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM1385779	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM1385780	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM1385781	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM1385782	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM1385783	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM2769390	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM2769391	1	Esophagus_ECs_Control_cluster_1	TRUE
GSM2769392	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM2769393	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM2769394	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM2769395	3	Esophagus_ECs_Control_cluster_3	TRUE
