sample	cluster	condition	control
GSM4735788	3	Blood_GERD_cluster_3	TRUE
GSM4735790	3	Blood_GERD_cluster_3	TRUE
GSM4735789	3	Blood_GERD_cluster_3	TRUE
GSM4735791	3	Blood_GERD_cluster_3	TRUE
GSM4260265	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260266	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260267	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260268	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260269	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260270	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260271	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260272	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260273	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260274	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260275	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260276	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
