feature	factor	value	view
A2M	Factor1	1.9415277680257734e-5	Human transcriptome
A2ML1	Factor1	-1.916261893312563e-6	Human transcriptome
A4GALT	Factor1	-1.7018194853387863e-4	Human transcriptome
AAAS	Factor1	9.60622333896329e-6	Human transcriptome
AACS	Factor1	0.07388667233310565	Human transcriptome
AAED1	Factor1	-3.0301071937217286e-7	Human transcriptome
AAGAB	Factor1	-2.3196651365719537e-6	Human transcriptome
AAK1	Factor1	0.1263362878901693	Human transcriptome
AAMP	Factor1	2.8903193825254137e-5	Human transcriptome
AAR2	Factor1	6.037150839377692e-6	Human transcriptome
AARS	Factor1	0.11800981868284338	Human transcriptome
AARS2	Factor1	4.323149612036655e-6	Human transcriptome
AASDH	Factor1	1.657652274283965e-6	Human transcriptome
AASDHPPT	Factor1	2.2782449814325396e-6	Human transcriptome
AASS	Factor1	-8.83077322022819e-6	Human transcriptome
AATF	Factor1	2.699452506778074e-5	Human transcriptome
ABAT	Factor1	4.434258449782628e-5	Human transcriptome
ABCA1	Factor1	-0.08482366699913012	Human transcriptome
ABCA10	Factor1	-8.926844626637435e-6	Human transcriptome
ABCA2	Factor1	6.40520190594697e-5	Human transcriptome
ABCA5	Factor1	-6.830208145371228e-5	Human transcriptome
ABCA6	Factor1	-3.143400175335385e-6	Human transcriptome
ABCA7	Factor1	-2.484818794528112e-4	Human transcriptome
ABCA8	Factor1	-6.742805740293323e-6	Human transcriptome
ABCA9	Factor1	-7.430888579102279e-6	Human transcriptome
ABCB10	Factor1	0.02182548637852837	Human transcriptome
ABCB7	Factor1	-5.867811983863298e-5	Human transcriptome
ABCB8	Factor1	0.03166574541665029	Human transcriptome
ABCC1	Factor1	0.07815809283000061	Human transcriptome
ABCC10	Factor1	-5.786796080108496e-6	Human transcriptome
ABCC3	Factor1	1.6165628501518806e-4	Human transcriptome
ABCC4	Factor1	-8.625543435918875e-5	Human transcriptome
ABCC5	Factor1	-2.4776390217069846e-4	Human transcriptome
ABCD3	Factor1	0.048592605562847446	Human transcriptome
ABCD4	Factor1	-2.4411839425428172e-5	Human transcriptome
ABCE1	Factor1	0.050372986367575256	Human transcriptome
ABCF1	Factor1	0.04738738850618353	Human transcriptome
ABCF2	Factor1	4.303423064866857e-6	Human transcriptome
ABCF3	Factor1	-4.858000085238435e-7	Human transcriptome
ABCG1	Factor1	-8.655920153795543e-6	Human transcriptome
ABHD10	Factor1	-4.26093694232089e-6	Human transcriptome
