sample	cluster	condition	control
GSM4735787	5	Blood_EoE_cluster_5	FALSE
GSM4735793	2	Blood_EoE_cluster_2	FALSE
GSM4735785	2	Blood_EoE_cluster_2	FALSE
GSM4735792	2	Blood_EoE_cluster_2	FALSE
GSM4735794	2	Blood_EoE_cluster_2	FALSE
GSM1022678	4	Esophagus_EoE_cluster_4	FALSE
GSM1022679	3	Esophagus_EoE_cluster_3	FALSE
GSM1022680	4	Esophagus_EoE_cluster_4	FALSE
GSM1022681	4	Esophagus_EoE_cluster_4	FALSE
GSM1022682	3	Esophagus_EoE_cluster_3	FALSE
GSM1022683	4	Esophagus_EoE_cluster_4	FALSE
GSM1415912	2	Esophagus_EoE_cluster_2	FALSE
GSM1415913	2	Esophagus_EoE_cluster_2	FALSE
GSM1415914	2	Esophagus_EoE_cluster_2	FALSE
GSM1415915	2	Esophagus_EoE_cluster_2	FALSE
GSM1415916	2	Esophagus_EoE_cluster_2	FALSE
GSM1415917	2	Esophagus_EoE_cluster_2	FALSE
GSM1415918	2	Esophagus_EoE_cluster_2	FALSE
GSM1415919	2	Esophagus_EoE_cluster_2	FALSE
GSM1415920	2	Esophagus_EoE_cluster_2	FALSE
GSM1415921	2	Esophagus_EoE_cluster_2	FALSE
GSM3103946	1	Esophagus_EoE_cluster_1	FALSE
GSM3103947	1	Esophagus_EoE_cluster_1	FALSE
GSM3103948	5	Esophagus_EoE_cluster_5	FALSE
GSM3103949	5	Esophagus_EoE_cluster_5	FALSE
GSM3103950	5	Esophagus_EoE_cluster_5	FALSE
GSM3103951	5	Esophagus_EoE_cluster_5	FALSE
GSM3103952	1	Esophagus_EoE_cluster_1	FALSE
GSM3103953	1	Esophagus_EoE_cluster_1	FALSE
GSM3103954	1	Esophagus_EoE_cluster_1	FALSE
GSM3103955	5	Esophagus_EoE_cluster_5	FALSE
GSM4735803	4	Esophagus_EoE_cluster_4	FALSE
GSM4735804	4	Esophagus_EoE_cluster_4	FALSE
GSM4735795	4	Esophagus_EoE_cluster_4	FALSE
GSM4735797	2	Esophagus_EoE_cluster_2	FALSE
GSM4735802	4	Esophagus_EoE_cluster_4	FALSE
