sample	cluster	condition	control
GSM5282507	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282509	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282510	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282511	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282512	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282515	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282516	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282519	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282521	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282523	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282524	5	Blood_CD4_EoE_cluster_5	FALSE
GSM5282526	1	Blood_CD4_EoE_cluster_1	FALSE
GSM5282528	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282529	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282513	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282533	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282534	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282536	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282525	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282530	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282514	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282520	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282535	4	Blood_CD4_EoE_cluster_4	FALSE
GSM5282522	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282531	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282508	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282518	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282517	3	Blood_CD4_EoE_cluster_3	FALSE
GSM5282527	2	Blood_CD4_EoE_cluster_2	FALSE
GSM5282532	3	Blood_CD4_EoE_cluster_3	FALSE
GSM1022690	2	Esophagus_Control_cluster_2	TRUE
GSM1022691	2	Esophagus_Control_cluster_2	TRUE
GSM1022692	4	Esophagus_Control_cluster_4	TRUE
GSM1022693	4	Esophagus_Control_cluster_4	TRUE
GSM1022694	2	Esophagus_Control_cluster_2	TRUE
GSM1022695	4	Esophagus_Control_cluster_4	TRUE
GSM1415906	4	Esophagus_Control_cluster_4	TRUE
GSM1415907	4	Esophagus_Control_cluster_4	TRUE
GSM1415908	4	Esophagus_Control_cluster_4	TRUE
GSM1415909	4	Esophagus_Control_cluster_4	TRUE
GSM1415910	4	Esophagus_Control_cluster_4	TRUE
GSM1415911	4	Esophagus_Control_cluster_4	TRUE
GSM3103956	2	Esophagus_Control_cluster_2	TRUE
GSM3103957	2	Esophagus_Control_cluster_2	TRUE
GSM3103958	2	Esophagus_Control_cluster_2	TRUE
GSM3103959	2	Esophagus_Control_cluster_2	TRUE
GSM3103960	2	Esophagus_Control_cluster_2	TRUE
GSM3103961	2	Esophagus_Control_cluster_2	TRUE
GSM3103962	2	Esophagus_Control_cluster_2	TRUE
GSM3103963	2	Esophagus_Control_cluster_2	TRUE
GSM3103964	2	Esophagus_Control_cluster_2	TRUE
GSM3103965	2	Esophagus_Control_cluster_2	TRUE
GSM4735796	1	Esophagus_Control_cluster_1	TRUE
