feature	factor	value	view
Acidianus sulfidivorans	Factor1	2.4306997925075585e-8	Archaea metatranscriptome
Acidilobus saccharovorans	Factor1	2.0712944023449552e-7	Archaea metatranscriptome
Candidatus Nitrosocosmicus exaquare	Factor1	-8.048983748415584e-10	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor1	-9.097572373320497e-4	Archaea metatranscriptome
Candidatus Prometheoarchaeum syntrophicum	Factor1	4.339140453080729e-8	Archaea metatranscriptome
Metallosphaera hakonensis	Factor1	2.1048689623643378e-7	Archaea metatranscriptome
Methanobrevibacter ruminantium	Factor1	1.7214475997751072e-8	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor1	1.0453527370707606e-5	Archaea metatranscriptome
Methanosalsum zhilinae	Factor1	5.8153842137763174e-8	Archaea metatranscriptome
Methanosarcina barkeri	Factor1	1.2290004875364827e-6	Archaea metatranscriptome
Methanosarcina lacustris	Factor1	-4.9453859865332395e-9	Archaea metatranscriptome
Methanosarcina mazei	Factor1	1.9699703447074047e-8	Archaea metatranscriptome
Natrialba magadii	Factor1	-5.2064033927744675e-8	Archaea metatranscriptome
Nitrososphaera viennensis	Factor1	-1.2833633980630966e-8	Archaea metatranscriptome
Pyrolobus fumarii	Factor1	-1.734897668585893e-7	Archaea metatranscriptome
Sulfodiicoccus acidiphilus	Factor1	4.485966163848753e-8	Archaea metatranscriptome
Sulfolobus acidocaldarius	Factor1	1.1876706553908613e-6	Archaea metatranscriptome
Sulfolobus sp. S-194	Factor1	2.1289570249049636e-8	Archaea metatranscriptome
Thermococcus litoralis	Factor1	2.2927936546000477e-8	Archaea metatranscriptome
Thermofilum uzonense	Factor1	-1.4619461173197644e-9	Archaea metatranscriptome
Acidianus sulfidivorans	Factor2	1.3423414136370998e-5	Archaea metatranscriptome
Acidilobus saccharovorans	Factor2	-3.5221136028111324e-6	Archaea metatranscriptome
Candidatus Nitrosocosmicus exaquare	Factor2	-1.7542578081423458e-5	Archaea metatranscriptome
Candidatus Nitrosopelagicus brevis	Factor2	0.003937640695508139	Archaea metatranscriptome
Candidatus Prometheoarchaeum syntrophicum	Factor2	-4.262329063903495e-6	Archaea metatranscriptome
Metallosphaera hakonensis	Factor2	1.1947871070118756e-5	Archaea metatranscriptome
Methanobrevibacter ruminantium	Factor2	2.1930991095644914e-6	Archaea metatranscriptome
Methanohalophilus portucalensis	Factor2	0.22024531634254832	Archaea metatranscriptome
Methanosalsum zhilinae	Factor2	4.373854247211605e-6	Archaea metatranscriptome
Methanosarcina barkeri	Factor2	-2.510186084046394e-5	Archaea metatranscriptome
Methanosarcina lacustris	Factor2	2.3353134665565584e-7	Archaea metatranscriptome
Methanosarcina mazei	Factor2	8.955359118505087e-6	Archaea metatranscriptome
Natrialba magadii	Factor2	2.20728601841592e-6	Archaea metatranscriptome
Nitrososphaera viennensis	Factor2	-1.5935353758893763e-5	Archaea metatranscriptome
Pyrolobus fumarii	Factor2	-1.1907549295076592e-5	Archaea metatranscriptome
Sulfodiicoccus acidiphilus	Factor2	-1.1058708034107821e-6	Archaea metatranscriptome
Sulfolobus acidocaldarius	Factor2	3.143728416024242e-6	Archaea metatranscriptome
Sulfolobus sp. S-194	Factor2	-8.936181882425694e-6	Archaea metatranscriptome
Thermococcus litoralis	Factor2	6.918276462407401e-6	Archaea metatranscriptome
Thermofilum uzonense	Factor2	-1.8502551033723442e-5	Archaea metatranscriptome
[Brevibacterium] frigoritolerans	Factor1	3.473715113486105e-11	Bacteria metatranscriptome
[Eubacterium] sulci	Factor1	4.746994828199653e-10	Bacteria metatranscriptome
[Haemophilus] ducreyi	Factor1	2.565266889255301e-10	Bacteria metatranscriptome
[Polyangium] brachysporum	Factor1	-1.2493599233796713e-10	Bacteria metatranscriptome
Acaryochloris marina	Factor1	3.6422612940440346e-10	Bacteria metatranscriptome
Acetobacter persici	Factor1	3.7853974576644665e-10	Bacteria metatranscriptome
Acholeplasma palmae	Factor1	-1.1834244341422073e-11	Bacteria metatranscriptome
Achromobacter xylosoxidans	Factor1	-5.975162477855126e-10	Bacteria metatranscriptome
Acidithiobacillus caldus	Factor1	-6.576491984654914e-11	Bacteria metatranscriptome
Acidithiobacillus thiooxidans	Factor1	3.075537631140485e-11	Bacteria metatranscriptome
Acidovorax avenae	Factor1	3.8304258196482265e-10	Bacteria metatranscriptome
