sample	group	view	value	combi	ntotal	ptotal
GSM4735785	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM4735787	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM4735792	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM4735793	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM4735794	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282507	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282508	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282509	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282510	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282511	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282512	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282513	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282514	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282515	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282516	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282517	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282518	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282519	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282520	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282521	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282522	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282523	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282524	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282525	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282526	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282527	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282528	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282529	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282530	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282531	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282532	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282533	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282534	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282535	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM5282536	EoE	Archaea_Blood	TRUE	Archaea_Blood	N=35	D=54
GSM4260927	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260928	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260929	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260930	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260931	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260932	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260933	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260934	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260935	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260936	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260937	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260938	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260939	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260940	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260941	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260942	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260943	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260944	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260945	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260946	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260947	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260948	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260949	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260950	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260951	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260952	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260953	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260954	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260955	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260956	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260957	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260958	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260959	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260960	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260961	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260962	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260963	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260964	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260965	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260966	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260967	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260968	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260969	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260970	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260971	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260972	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260973	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260974	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260975	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260976	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260977	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260978	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260979	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
GSM4260980	IBD	Archaea_Blood	FALSE	missing	N=332	D=54
